Unnamed: 0,NOR,WAS
First Downs,18,26
Rush-Yds-TDs,23-98-1,33-131-2
Cmp-Att-Yd-TD-INT,15-30-279-4-1,20-41-248-0-2
Sacked-Yards,2-8,2-6
Net Pass Yards,271,242
Total Yards,369,373
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,6-45,5-37
Third Down Conv.,4-11,5-16
Fourth Down Conv.,1-1,1-3
Time of Possession,23:34,36:26
