Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Michael Koenen kicks off 69 yards, returned by Travaris Cadet for 30 yards (tackle by Ahmad Black)",0.000,0.670
1,14:56,1,10,NOR 26,0,0,Drew Brees pass complete short right to Jimmy Graham for 13 yards (tackle by Danny Gorrer),0.670,1.530
1,14:20,1,10,NOR 39,0,0,"Mark Ingram left tackle for 3 yards (tackle by E.J. Biggers and Mason Foster). Penalty on Devery Henderson: Offensive Holding, 10 yards (no play)",1.530,0.870
1,14:01,1,20,NOR 29,0,0,Drew Brees pass complete short right to Marques Colston for 13 yards (tackle by Danny Gorrer),0.870,1.390
1,13:31,2,7,NOR 42,0,0,Darren Sproles left end for 15 yards (tackle by Ronde Barber),1.390,2.720
1,13:06,1,10,TAM 43,0,0,Drew Brees pass complete short right to David Thomas for 12 yards (tackle by Mark Barron),2.720,3.510
1,12:33,1,10,TAM 31,0,0,Drew Brees pass complete short left to Pierre Thomas for 20 yards (tackle by Mason Foster),3.510,4.840
1,11:52,1,10,TAM 11,0,0,Pierre Thomas right guard for 2 yards (tackle by Anthony Gaitor),4.840,4.510
1,11:17,2,8,TAM 9,0,6,"Drew Brees pass complete short right to David Thomas for 9 yards, touchdown",4.510,7.000
1,11:17,,,TAM 2,0,7,Garrett Hartley kicks extra point good,0.000,0.000
1,11:12,,,NOR 35,0,7,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
1,11:12,1,10,TAM 20,0,7,Josh Freeman pass complete short right to Dallas Clark for 2 yards (tackle by Elbert Mack),0.280,0.000
1,10:36,2,8,TAM 22,0,7,Doug Martin left tackle for 4 yards (tackle by Brodrick Bunkley and Sedrick Ellis),0.000,-0.160
1,9:54,3,4,TAM 26,0,7,Josh Freeman pass incomplete (defended by Curtis Lofton),-0.160,-1.630
1,9:50,4,4,TAM 26,0,7,"Michael Koenen punts 55 yards, returned by Darren Sproles for 7 yards (tackle by Erik Lorig). Penalty on Patrick Robinson: Offensive Holding, 10 yards",-1.630,0.380
