#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:12,TAM 20,3,1:33,6,Punt
2,1,7:59,TAM 23,8,3:53,57,Interception
3,2,13:23,TAM 20,3,1:17,9,Punt
4,2,11:10,NOR 33,4,1:47,7,Interception
5,2,4:57,TAM 15,4,2:14,22,Punt
6,2,1:37,TAM 21,3,0:33,-4,Punt
7,2,0:09,TAM 35,1,0:09,-1,End of Half
8,3,15:00,TAM 20,5,1:31,27,Interception
9,3,9:05,TAM 20,10,3:44,46,Downs
10,3,3:12,TAM 20,10,3:12,69,Downs
11,4,13:19,TAM 34,5,2:24,24,Interception
12,4,8:09,TAM 19,5,1:43,24,Fumble
13,4,4:54,TAM 24,11,4:54,66,End of Game
