Unnamed: 0,BAL,CLE
First Downs,21,14
Rush-Yds-TDs,41-193-1,23-64-0
Cmp-Att-Yd-TD-INT,17-29-248-2-0,17-33-219-2-1
Sacked-Yards,2-12,1-9
Net Pass Yards,236,210
Total Yards,429,274
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,7-42,8-37
Third Down Conv.,7-16,2-12
Fourth Down Conv.,0-0,0-1
Time of Possession,33:45,26:15
