Unnamed: 0,PIT,CLE
First Downs,24,17
Rush-Yds-TDs,28-146-1,13-33-0
Cmp-Att-Yd-TD-INT,23-36-167-0-0,21-41-246-1-1
Sacked-Yards,0-0,8-70
Net Pass Yards,167,176
Total Yards,313,209
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,8-70,9-52
Third Down Conv.,5-12,4-15
Fourth Down Conv.,1-1,5-5
Time of Possession,33:58,26:02
