Quarter,Time,Tm,Detail,PIT,CLE
1.0,2:28,Steelers,Chris Boswell 32 yard field goal,3,0
2.0,4:43,Steelers,Chris Boswell 33 yard field goal,6,0
,0:00,Steelers,Le'Veon Bell 1 yard rush (David Johnson pass from Ben Roethlisberger),14,0
3.0,8:05,Browns,Cody Parkey 24 yard field goal,14,3
,0:03,Steelers,Chris Boswell 22 yard field goal,17,3
4.0,9:45,Browns,Gary Barnidge 14 yard pass from Josh McCown (Cody Parkey kick failed),17,9
,3:36,Steelers,Javon Hargrave defensive fumble recovery in end zone (Chris Boswell kick),24,9
