Unnamed: 0,NWE,IND
First Downs,22,24
Rush-Yds-TDs,25-116-1,22-120-0
Cmp-Att-Yd-TD-INT,23-37-312-3-1,30-50-312-3-0
Sacked-Yards,2-11,3-23
Net Pass Yards,301,289
Total Yards,417,409
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,8-72,11-103
Third Down Conv.,5-12,7-16
Fourth Down Conv.,1-1,1-3
Time of Possession,27:28,32:32
