Quarter,Time,Tm,Detail,NWE,IND
1.0,7:16,Colts,Donte Moncrief 5 yard pass from Andrew Luck (Adam Vinatieri kick),0,7
,2:50,Patriots,Julian Edelman 12 yard pass from Tom Brady (Stephen Gostkowski kick),7,7
2.0,13:48,Patriots,Stephen Gostkowski 40 yard field goal,10,7
,11:30,Colts,Mike Adams 14 yard interception return (Adam Vinatieri kick),10,14
,9:33,Patriots,LeGarrette Blount 38 yard rush (Stephen Gostkowski kick),17,14
,2:38,Colts,T.Y. Hilton 3 yard pass from Andrew Luck (Adam Vinatieri kick),17,21
,0:02,Patriots,Stephen Gostkowski 35 yard field goal,20,21
3.0,10:56,Patriots,Rob Gronkowski 25 yard pass from Tom Brady (Stephen Gostkowski kick),27,21
4.0,12:48,Patriots,LeGarrette Blount 11 yard pass from Tom Brady (Stephen Gostkowski kick),34,21
,1:19,Colts,Griff Whalen 18 yard pass from Andrew Luck (Adam Vinatieri kick failed),34,27
