Quarter,Time,Down,ToGo,Location,TEN,NYJ,Detail,EPB,EPA
1,9:17,,,NYJ 35,0,7,"Randy Bullock kicks off 65 yards, returned by Tre McBride for 18 yards (tackle by Quincy Enunwa)",0.000,-0.040
1,9:08,1,10,TEN 18,0,7,Marcus Mariota pass incomplete short left intended for Delanie Walker,0.040,-0.490
1,9:03,2,10,TEN 18,0,7,Marcus Mariota pass incomplete short right intended for Delanie Walker (defended by Muhammad Wilkerson),-0.490,-1.170
1,9:00,3,10,TEN 18,0,7,Marcus Mariota pass incomplete short left intended for Delanie Walker,-1.170,-2.240
1,8:55,4,10,TEN 18,0,7,"Brett Kern punts 55 yards, returned by Jeremy Kerley for 12 yards (tackle by Marqueston Huff)",-2.240,-1.530
1,8:45,1,10,NYJ 39,0,7,Chris Ivory middle for 2 yards (tackle by Avery Williamson and David Bass),1.530,1.260
1,8:09,2,8,NYJ 41,0,7,Ryan Fitzpatrick pass complete short right to Eric Decker for 20 yards (tackle by Perrish Cox),1.260,2.980
1,7:34,1,10,TEN 39,0,7,Chris Ivory middle for -3 yards (tackle by Michael Griffin),2.980,2.040
1,6:57,2,13,TEN 42,0,7,Ryan Fitzpatrick pass complete short middle to Bilal Powell for 5 yards (tackle by Coty Sensabaugh and Michael Griffin),2.040,2.020
1,6:14,3,8,TEN 37,0,7,Ryan Fitzpatrick right tackle for 2 yards (tackle by Jurrell Casey and Brian Orakpo),2.020,0.970
1,5:35,4,6,TEN 35,0,7,Randy Bullock 53 yard field goal no good,0.970,-1.800
1,5:30,1,10,TEN 43,0,7,Antonio Andrews left tackle for 4 yards (tackle by Muhammad Wilkerson),1.800,1.790
1,4:53,2,6,TEN 47,0,7,Antonio Andrews right end for 1 yard (tackle by Erin Henderson),1.790,1.220
1,4:08,3,5,TEN 48,0,7,Marcus Mariota pass incomplete deep left intended for Harry Douglas,1.220,-0.190
1,4:01,4,5,TEN 48,0,7,"Brett Kern punts 32 yards, fair catch by Jeremy Kerley",-0.190,-0.280
1,3:53,1,10,NYJ 20,0,7,Stevan Ridley left end for 5 yards (tackle by Da'Norris Searcy),0.280,0.410
1,3:09,2,5,NYJ 25,0,7,"Stevan Ridley left tackle for 2 yards (tackle by DaQuan Jones). Penalty on Quincy Enunwa: Chop Block (Offsetting), Penalty on Da'Norris Searcy: Face Mask (15 Yards) (Offsetting) (no play)",0.410,0.410
1,2:44,2,5,NYJ 25,0,7,Ryan Fitzpatrick pass complete short right to Eric Decker for 7 yards (tackle by B.W. Webb),0.410,1.070
1,2:11,1,10,NYJ 32,0,7,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 15 yards (tackle by B.W. Webb),1.070,2.060
1,1:34,1,10,NYJ 47,0,7,Bilal Powell middle for 24 yards (tackle by J.R. Tavai),2.060,3.640
1,1:02,1,10,TEN 29,0,7,Ryan Fitzpatrick pass incomplete short right intended for Eric Decker (defended by Cody Riggs),3.640,3.100
1,0:58,2,10,TEN 29,0,7,Ryan Fitzpatrick pass incomplete short right intended for Quincy Enunwa (defended by Justin Staples),3.100,2.410
1,0:55,3,10,TEN 29,0,7,Ryan Fitzpatrick pass incomplete deep right intended for Devin Smith,2.410,1.500
1,0:51,4,10,TEN 29,0,10,Randy Bullock 47 yard field goal good,1.500,3.000
1,0:51,,,NYJ 35,0,10,"Randy Bullock kicks off 66 yards, returned by Tre McBride for 15 yards (tackle by Devin Smith)",0.000,0.280
1,0:41,1,10,TEN 14,0,10,Marcus Mariota pass complete deep right to Dorial Green-Beckham for 27 yards (tackle by Marcus Gilchrist),-0.280,1.660
Quarter,Time,Down,ToGo,Location,TEN,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 41,0,10,David Cobb right end for -2 yards (tackle by David Harris),1.660,0.850
2,14:24,2,12,TEN 39,0,10,Marcus Mariota pass complete short middle to Delanie Walker for 5 yards (tackle by David Harris),0.850,0.830
2,13:44,3,7,TEN 44,0,10,Marcus Mariota pass incomplete short middle intended for Dexter McCluster is intercepted by Buster Skrine at TEN-44 and returned for 9 yards,0.830,-3.250
2,13:33,1,10,TEN 35,0,10,Chris Ivory middle for 1 yard (tackle by DaQuan Jones and Jurrell Casey),3.250,2.840
2,12:54,2,9,TEN 34,0,10,Ryan Fitzpatrick pass complete short right to Chris Ivory for 6 yards (tackle by Coty Sensabaugh),2.840,2.940
2,12:10,3,3,TEN 28,0,10,Ryan Fitzpatrick pass complete short left to Eric Decker for 6 yards (tackle by B.W. Webb and Zach Brown),2.940,4.110
2,11:32,1,10,TEN 22,0,10,Ryan Fitzpatrick pass incomplete deep right intended for Devin Smith,4.110,3.560
2,11:28,2,10,TEN 22,0,10,Ryan Fitzpatrick pass incomplete short left intended for Brandon Marshall,3.560,2.870
2,11:24,3,10,TEN 22,0,10,Ryan Fitzpatrick pass complete short left to Bilal Powell for 9 yards (tackle by Coty Sensabaugh and Perrish Cox),2.870,2.720
2,10:50,4,1,TEN 13,0,10,Ryan Fitzpatrick right guard for 2 yards (tackle by Wesley Woodyard and David Bass),2.720,4.840
2,10:12,1,10,TEN 11,0,10,Ryan Fitzpatrick pass complete short right to Tommy Bohanon for 2 yards (tackle by Perrish Cox),4.840,4.510
2,9:34,2,8,TEN 9,0,10,Ryan Fitzpatrick pass incomplete short right intended for Brandon Marshall (defended by David Bass),4.510,3.530
2,9:29,3,8,TEN 9,0,10,Ryan Fitzpatrick pass incomplete short middle intended for Eric Decker,3.530,2.830
2,9:25,4,8,TEN 9,0,13,Randy Bullock 27 yard field goal good,2.830,3.000
2,9:25,,,NYJ 35,0,13,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
2,9:22,1,10,TEN 20,0,13,Dexter McCluster right end for 2 yards (tackle by Calvin Pryor and Stephen Bowen),0.280,0.000
2,8:48,2,8,TEN 22,0,13,Dexter McCluster middle for 1 yard (tackle by Erin Henderson),0.000,-0.560
2,8:09,3,7,TEN 23,0,13,Marcus Mariota right end for 3 yards (tackle by Demario Davis),-0.560,-1.630
2,7:47,4,4,TEN 26,0,13,"Brett Kern punts 53 yards, returned by Jeremy Kerley for 7 yards (tackle by Marqueston Huff)",-1.630,-0.810
2,7:36,1,10,NYJ 28,0,13,Chris Ivory right end for 32 yards (tackle by Zach Brown),0.810,2.920
2,6:59,1,10,TEN 40,0,13,Bilal Powell for 11 yards,2.920,3.640
2,6:30,1,10,TEN 29,0,13,Stevan Ridley left end for 3 yards (tackle by Coty Sensabaugh),3.640,3.510
2,5:52,2,7,TEN 26,0,13,Stevan Ridley middle for 11 yards (tackle by Coty Sensabaugh),3.510,4.580
2,5:13,1,10,TEN 15,0,13,Stevan Ridley left tackle for -1 yards (tackle by Jurrell Casey),4.580,3.810
2,4:29,2,11,TEN 16,0,13,Ryan Fitzpatrick pass incomplete short middle intended for Eric Decker,3.810,3.040
2,4:26,3,11,TEN 16,0,19,"Ryan Fitzpatrick pass complete short middle to Bilal Powell for 16 yards, touchdown",3.040,7.000
2,4:26,3,11,TEN 16,0,19,"Penalty on Da'Norris Searcy: Neutral Zone Infraction, 5 yards",3.040,0.000
2,4:26,,,TEN 16,0,20,Randy Bullock kicks extra point good,0.000,0.000
2,4:26,,,NYJ 40,0,20,"Randy Bullock kicks off 60 yards, touchback",0.000,-0.280
2,4:18,1,10,TEN 20,0,20,Marcus Mariota sacked by Muhammad Wilkerson for -7 yards. Penalty on Anthony Fasano: Offensive Holding (Declined),0.280,-1.280
2,3:57,2,17,TEN 13,0,20,Marcus Mariota pass complete deep left to Andrew Turzilli for 18 yards (tackle by Antonio Cromartie),-1.280,1.000
2,3:23,1,10,TEN 31,0,20,Antonio Andrews right tackle for no gain (tackle by Muhammad Wilkerson),1.000,0.460
2,2:41,2,10,TEN 31,0,20,Marcus Mariota left end for -2 yards (tackle by Buster Skrine),0.460,-0.490
2,2:00,3,12,TEN 29,0,20,Marcus Mariota pass incomplete deep right intended for Dorial Green-Beckham,-0.490,-1.440
2,1:55,4,12,TEN 29,0,20,"Brett Kern punts 51 yards, returned by Eric Decker for 11 yards (tackle by Cody Riggs)",-1.440,-1.000
2,1:44,1,10,NYJ 31,0,26,"Ryan Fitzpatrick pass complete short right to Brandon Marshall for 69 yards, touchdown",1.000,7.000
2,1:44,,,TEN 31,0,27,Randy Bullock kicks extra point good,0.000,0.000
2,1:44,,,NYJ 35,0,27,"Randy Bullock kicks off 65 yards, returned by Tre McBride for 14 yards (tackle by Quincy Enunwa)",0.000,0.280
2,1:30,1,10,TEN 14,0,27,Marcus Mariota pass complete short left to Delanie Walker for 11 yards (tackle by Buster Skrine),-0.280,0.610
2,1:12,1,10,TEN 25,0,27,Marcus Mariota pass incomplete short left intended for Harry Douglas (defended by Antonio Cromartie),0.610,0.060
2,1:07,2,10,TEN 25,0,27,Marcus Mariota pass complete short left to Dexter McCluster for 1 yard (tackle by Calvin Pryor),0.060,-0.490
2,0:42,3,9,TEN 26,0,27,Marcus Mariota pass complete short left to Dorial Green-Beckham for 14 yards,-0.490,1.600
2,0:37,1,10,TEN 40,0,27,Marcus Mariota sacked by Muhammad Wilkerson for -12 yards,1.600,1.600
2,0:26,1,10,TEN 40,0,27,Timeout #1 by Tennessee Titans,1.600,-0.570
2,0:26,2,22,TEN 28,0,27,Marcus Mariota pass incomplete deep middle intended for Delanie Walker,-0.570,-1.220
2,0:20,3,22,TEN 28,0,27,Dexter McCluster middle for 8 yards (tackle by Sheldon Richardson and Buster Skrine),-1.220,-0.980
Quarter,Time,Down,ToGo,Location,TEN,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,0,27,"Randy Bullock kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,TEN 20,0,27,Antonio Andrews left end for 3 yards (tackle by Damon Harrison and Calvin Pryor),0.280,0.140
3,14:23,2,7,TEN 23,0,27,Marcus Mariota pass complete short middle to Dexter McCluster for 8 yards (tackle by Buster Skrine),0.140,1.000
3,13:45,1,10,TEN 31,0,27,Marcus Mariota pass incomplete short middle intended for Dorial Green-Beckham (defended by Antonio Cromartie),1.000,0.460
3,13:40,2,10,TEN 31,0,27,Marcus Mariota pass complete short right to Andrew Turzilli for 7 yards (tackle by Darrelle Revis),0.460,0.700
3,13:03,3,3,TEN 38,0,27,Marcus Mariota pass incomplete short middle intended for Antonio Andrews (defended by David Harris),0.700,-0.850
3,12:53,4,3,TEN 38,0,27,"Brett Kern punts 54 yards, returned by Jeremy Kerley for 2 yards (tackle by Cody Riggs)",-0.850,0.380
3,12:45,1,10,NYJ 10,0,27,Chris Ivory middle for 7 yards (tackle by Michael Griffin),-0.380,-0.090
3,12:09,2,3,NYJ 17,0,27,Chris Ivory right end for 10 yards (tackle by B.W. Webb),-0.090,0.740
3,11:37,1,10,NYJ 27,0,27,Ryan Fitzpatrick pass incomplete short right intended for Tommy Bohanon,0.740,0.200
3,11:31,2,10,NYJ 27,0,27,Chris Ivory right tackle for 3 yards (tackle by Jurrell Casey and Michael Griffin),0.200,-0.100
3,10:52,3,7,NYJ 30,0,27,Ryan Fitzpatrick pass complete short middle to Eric Decker for 10 yards (tackle by Marqueston Huff),-0.100,1.600
3,10:15,1,10,NYJ 40,0,27,Chris Ivory middle for no gain (tackle by Wesley Woodyard and Angelo Blackson),1.600,1.050
3,9:35,2,10,NYJ 40,0,27,Chris Ivory left guard for 2 yards (tackle by Karl Klug),1.050,0.630
3,8:54,3,8,NYJ 42,0,27,Ryan Fitzpatrick pass complete short left to Bilal Powell for 3 yards (tackle by Michael Griffin),0.630,-0.390
3,8:21,4,5,NYJ 45,0,27,"Ryan Quigley punts 43 yards, returned by Dexter McCluster for 2 yards (tackle by Darrin Walls)",-0.390,0.280
3,8:11,1,10,TEN 14,0,27,"Marcus Mariota sacked by Calvin Pace for -3 yards. Penalty on David Harris: Defensive Holding, 5 yards (no play)",-0.280,0.150
3,7:46,1,10,TEN 19,0,27,Marcus Mariota pass complete short right to Delanie Walker for 12 yards (tackle by Buster Skrine),0.150,1.000
3,7:10,1,10,TEN 31,0,27,Dexter McCluster left guard for 1 yard (tackle by Damon Harrison),1.000,0.600
3,6:30,2,9,TEN 32,0,27,Marcus Mariota pass complete short right to Harry Douglas for 8 yards (tackle by Buster Skrine),0.600,0.960
3,5:53,3,1,TEN 40,0,27,Marcus Mariota pass complete short left to Dexter McCluster for 1 yard (tackle by Marcus Gilchrist),0.960,1.660
3,5:09,1,10,TEN 41,0,27,"Marcus Mariota left end for 8 yards (tackle by Calvin Pryor). Penalty on Andy Gallik: Offensive Holding, 10 yards (no play)",1.660,1.000
3,4:38,1,20,TEN 31,0,27,Marcus Mariota pass complete deep right to Dexter McCluster for 28 yards (tackle by Darrelle Revis),1.000,1.000
3,4:16,1,20,TEN 31,0,27,Timeout #1 by Tennessee Titans,1.000,2.850
3,4:16,1,10,NYJ 41,6,27,"Antonio Andrews pass complete deep right to Marcus Mariota for 41 yards, touchdown",2.850,7.000
3,4:16,1,,NYJ 41,8,27,"Two Point Attempt: Marcus Mariota pass complete to Dexter McCluster, conversion succeeds. Penalty on Darrelle Revis: Defensive Holding, 5 yards",2.850,1.000
3,4:16,,,TEN 40,8,27,"Ryan Succop kicks off 60 yards, touchback",0.000,-0.280
3,4:09,1,10,NYJ 20,8,27,Chris Ivory middle for 9 yards (tackle by Zach Brown and Daimion Stafford),0.280,0.950
3,3:33,2,1,NYJ 29,8,27,Chris Ivory right guard for 3 yards (tackle by Avery Williamson),0.950,1.070
3,2:51,1,10,NYJ 32,8,27,Ryan Fitzpatrick pass incomplete short left intended for Quincy Enunwa,1.070,0.530
3,2:47,2,10,NYJ 32,8,27,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 13 yards (tackle by Coty Sensabaugh),0.530,1.930
3,2:08,1,10,NYJ 45,8,27,Chris Ivory right tackle for 3 yards (tackle by Jurrell Casey and David Bass),1.930,1.790
3,1:25,2,7,NYJ 48,8,27,Chris Ivory left guard for -2 yards (tackle by Zach Brown),1.790,0.830
3,0:44,3,9,NYJ 46,8,27,Ryan Fitzpatrick sacked by Karl Klug for -7 yards,0.830,-0.780
Quarter,Time,Down,ToGo,Location,TEN,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,16,NYJ 39,8,27,"Ryan Quigley punts 51 yards, out of bounds",-0.780,0.380
4,14:53,1,10,TEN 10,8,27,Marcus Mariota left tackle for 2 yards (tackle by Damon Harrison),-0.380,-0.630
4,14:15,2,8,TEN 12,8,27,David Cobb right tackle for 3 yards (tackle by Calvin Pace),-0.630,-0.840
4,13:34,3,5,TEN 15,8,27,Marcus Mariota pass complete short left to Harry Douglas for 51 yards (tackle by Calvin Pryor),-0.840,3.310
4,13:07,1,10,NYJ 34,8,27,Marcus Mariota sacked by Leonard Williams for -7 yards,3.310,1.830
4,12:27,2,17,NYJ 41,8,27,"Penalty on Andrew Turzilli: False Start, 5 yards (no play)",1.830,1.150
4,12:06,2,22,NYJ 46,8,27,"Marcus Mariota sacked by Muhammad Wilkerson for 0 yards. Marcus Mariota fumbles (forced by Muhammad Wilkerson), recovered by Marcus Mariota at TEN-41",1.150,-0.560
4,11:17,3,30,TEN 46,8,27,Marcus Mariota pass complete short right to Phillip Supernaw for 16 yards (tackle by Marcus Gilchrist),-0.560,-0.560
4,10:40,3,30,TEN 46,8,27,Timeout #2 by Tennessee Titans,-0.560,0.720
4,10:40,4,14,NYJ 38,8,27,Marcus Mariota sacked by Demario Davis for -13 yards,0.720,-2.320
4,10:35,1,10,TEN 49,8,27,"Stevan Ridley right end for 4 yards (tackle by Michael Griffin). Penalty on Kellen Davis: Offensive Holding, 10 yards (no play)",2.320,1.660
4,10:08,1,20,NYJ 41,8,27,Stevan Ridley right guard for 3 yards (tackle by Wesley Woodyard),1.660,0.840
4,9:26,2,17,NYJ 44,8,27,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 12 yards (tackle by B.W. Webb),0.840,1.750
4,8:54,3,5,TEN 44,8,27,Ryan Fitzpatrick pass incomplete deep right intended for Jeff Cumberland (defended by Marqueston Huff),1.750,0.330
4,8:47,4,5,TEN 44,8,27,"Ryan Quigley punts 44 yards, touchback",0.330,-0.280
4,8:40,1,10,TEN 20,8,27,Marcus Mariota pass complete short right to Harry Douglas for 6 yards (tackle by Marcus Gilchrist),0.280,0.540
4,8:20,2,4,TEN 26,8,27,Marcus Mariota pass incomplete short right intended for Harry Douglas,0.540,-0.160
4,8:17,3,4,TEN 26,8,27,Marcus Mariota pass incomplete short left intended for Delanie Walker. Penalty on TEN: Illegal Shift (Declined),-0.160,-1.630
4,8:13,4,4,TEN 26,8,27,"Brett Kern punts 44 yards, fair catch by Eric Decker",-1.630,-0.940
4,8:06,1,10,NYJ 30,8,27,Chris Ivory right guard for 3 yards (tackle by Michael Griffin and Avery Williamson),0.940,0.800
4,7:27,2,7,NYJ 33,8,27,Ryan Fitzpatrick pass complete short right to Quincy Enunwa for 10 yards (tackle by Coty Sensabaugh),0.800,1.800
4,6:44,1,10,NYJ 43,8,27,Chris Ivory right tackle for 1 yard (tackle by Zach Brown),1.800,1.390
4,5:59,2,9,NYJ 44,8,27,Bilal Powell right tackle for 1 yard (tackle by Angelo Blackson and David Bass),1.390,0.830
4,5:18,3,8,NYJ 45,8,27,Ryan Fitzpatrick pass complete short left to Bilal Powell for 13 yards (tackle by Jurrell Casey),0.830,2.790
4,4:31,1,10,TEN 42,8,27,Chris Ivory left end for 10 yards (tackle by Perrish Cox),2.790,3.450
4,4:25,1,10,TEN 32,8,27,Chris Ivory right tackle for 1 yard (tackle by DaQuan Jones),3.450,3.040
4,3:39,2,9,TEN 31,8,27,Stevan Ridley right end for 2 yards (tackle by Daimion Stafford),3.040,2.610
4,3:32,3,7,TEN 29,8,27,Ryan Fitzpatrick pass complete short right to Eric Decker for 5 yards (tackle by B.W. Webb),2.610,2.610
4,2:45,3,7,TEN 29,8,27,Timeout #1 by New York Jets,2.610,1.990
4,2:45,4,2,TEN 24,8,30,Randy Bullock 42 yard field goal good,1.990,3.000
4,2:45,,,NYJ 35,8,30,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
4,2:42,1,10,TEN 20,8,30,Marcus Mariota pass incomplete short right intended for Harry Douglas,0.280,-0.270
4,2:36,2,10,TEN 20,8,30,Marcus Mariota pass complete short middle to Delanie Walker for 16 yards (tackle by Buster Skrine),-0.270,1.330
4,2:16,1,10,TEN 36,8,30,Marcus Mariota pass complete short left to Dorial Green-Beckham for 12 yards,1.330,2.130
4,2:08,1,10,TEN 48,8,30,Marcus Mariota pass complete short left to Delanie Walker for 15 yards (tackle by Buster Skrine),2.130,3.120
4,2:00,1,10,NYJ 37,8,30,Marcus Mariota pass incomplete short left intended for Dorial Green-Beckham (defended by Antonio Cromartie),3.120,2.570
4,1:57,2,10,NYJ 37,8,30,Marcus Mariota pass incomplete deep left intended for Dorial Green-Beckham,2.570,1.880
4,1:52,3,10,NYJ 37,8,30,Marcus Mariota pass complete short right to Delanie Walker for 7 yards (tackle by Marcus Gilchrist),1.880,1.480
4,1:07,4,3,NYJ 30,8,30,Marcus Mariota pass complete short left to Delanie Walker for 5 yards (tackle by Marcus Gilchrist),1.480,3.910
4,0:44,1,10,NYJ 25,8,30,Marcus Mariota pass incomplete deep right intended for Anthony Fasano,3.910,3.360
4,0:38,2,10,NYJ 25,8,30,Marcus Mariota pass complete short right to Antonio Andrews for 6 yards (tackle by Demario Davis and Trevor Reilly),3.360,3.490
4,0:09,3,4,NYJ 19,8,30,Marcus Mariota pass incomplete deep right intended for Delanie Walker,3.490,2.260
4,0:04,4,4,NYJ 19,8,30,Marcus Mariota pass incomplete short left intended for Phillip Supernaw,2.260,0.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
