Unnamed: 0,CLE,PIT
First Downs,19,18
Rush-Yds-TDs,24-106-0,32-124-1
Cmp-Att-Yd-TD-INT,18-34-196-1-1,14-21-212-1-1
Sacked-Yards,5-23,1-13
Net Pass Yards,173,199
Total Yards,279,323
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,5-34,10-65
Third Down Conv.,4-12,4-10
Fourth Down Conv.,1-2,0-0
Time of Possession,32:06,27:54
