Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Robbie Gould kicks off 63 yards, returned by Deonte Thompson for 22 yards (tackle by Romeo Okwara)",0.000,-0.540
1,14:54,1,10,CHI 24,0,0,Jordan Howard left tackle for 1 yard (tackle by Jason Pierre-Paul),0.540,0.130
1,14:23,2,9,CHI 25,0,0,"Jay Cutler pass incomplete short middle intended for Cameron Meredith. Penalty on Olivier Vernon: Roughing the Passer, 15 yards (no play)",0.130,1.600
1,14:16,1,10,CHI 40,0,0,Jordan Howard left guard for 4 yards (tackle by Jason Pierre-Paul),1.600,1.590
1,13:38,2,6,CHI 44,0,0,Jordan Howard left end for 4 yards (tackle by Kelvin Sheppard and Andrew Adams),1.590,1.420
1,12:55,3,2,CHI 48,0,0,Jordan Howard left tackle for 3 yards (tackle by Kelvin Sheppard),1.420,2.320
1,12:15,1,10,NYG 49,0,0,Jay Cutler pass complete short left to Jeremy Langford for 14 yards (tackle by Kelvin Sheppard),2.320,3.250
1,11:42,1,10,NYG 35,0,0,Jeremy Langford right guard for no gain (tackle by Dominique Rodgers-Cromartie and Keenan Robinson),3.250,2.700
1,11:02,2,10,NYG 35,0,0,Jay Cutler pass complete short left to Jeremy Langford for 12 yards (tackle by Eli Apple),2.700,4.040
1,10:32,1,10,NYG 23,0,0,Jeremy Langford right tackle for 4 yards (tackle by Landon Collins and Devon Kennard),4.040,4.050
1,9:54,2,6,NYG 19,6,0,"Jay Cutler pass complete deep right to Zach Miller for 19 yards, touchdown",4.050,7.000
1,9:46,,,NYG 15,6,0,Connor Barth kicks extra point no good,0.000,-1.000
1,9:46,,,CHI 35,6,0,"Connor Barth kicks off 65 yards, returned by Dwayne Harris for 22 yards (tackle by Sherrick McManis)",0.000,-0.410
1,9:41,1,10,NYG 22,6,0,Rashad Jennings left guard for 7 yards (tackle by Jerrell Freeman and Leonard Floyd),0.410,0.810
1,9:12,2,3,NYG 29,6,0,"Eli Manning pass incomplete short right intended for Victor Cruz. Penalty on Tracy Porter: Defensive Holding, 5 yards (no play)",0.810,1.200
1,9:05,1,10,NYG 34,6,0,Rashad Jennings right guard for 2 yards (tackle by Danny Trevathan and Willie Young),1.200,0.930
1,8:38,2,8,NYG 36,6,0,Eli Manning pass complete short middle to Rashad Jennings for 16 yards (tackle by Deon Bush and Cornelius Washington),0.930,2.390
1,8:04,1,10,CHI 48,6,0,Eli Manning pass complete short middle to Odell Beckham for 11 yards (tackle by Cre'von LeBlanc),2.390,3.120
1,7:21,1,10,CHI 37,6,0,Eli Manning pass complete short left to Rashad Jennings for 1 yard (tackle by Danny Trevathan),3.120,2.710
1,6:43,2,9,CHI 36,6,0,Paul Perkins right guard for 11 yards (tackle by Deon Bush and Adrian Amos),2.710,3.910
1,6:02,1,10,CHI 25,6,0,Eli Manning pass incomplete short right intended for Sterling Shepard (defended by Tracy Porter),3.910,3.360
1,5:57,2,10,CHI 25,6,0,Paul Perkins right tackle for 2 yards (tackle by Adrian Amos and Akiem Hicks),3.360,2.940
1,5:20,3,8,CHI 23,6,0,Eli Manning pass complete short left to Odell Beckham for 6 yards (tackle by Bryce Callahan),2.940,2.440
1,4:35,4,2,CHI 17,6,0,Eli Manning pass complete short middle to Sterling Shepard for 15 yards (tackle by Cre'von LeBlanc and Jerrell Freeman),2.440,6.740
1,4:07,1,2,CHI 2,6,6,"Rashad Jennings left guard for 2 yards, touchdown",6.740,7.000
1,4:04,,,CHI 15,6,6,Robbie Gould kicks extra point no good,0.000,-1.000
1,4:04,,,NYG 35,6,6,"Robbie Gould kicks off 66 yards, returned by Deonte Thompson for 40 yards (tackle by Robbie Gould)",0.000,-1.530
1,3:57,1,10,CHI 39,6,6,Jay Cutler pass complete short left to Cameron Meredith for -2 yards (tackle by Eli Apple),1.530,0.720
1,3:18,2,12,CHI 37,6,6,Jordan Howard left end for 3 yards (tackle by Damon Harrison and Jonathan Casillas),0.720,0.430
1,2:33,3,9,CHI 40,6,6,Jay Cutler pass complete deep middle to Zach Miller for 34 yards (tackle by Keenan Robinson and Nat Berhe),0.430,3.840
1,1:49,1,10,NYG 26,6,6,Jordan Howard left tackle for 2 yards (tackle by Damon Harrison and Johnathan Hankins),3.840,3.570
1,1:15,2,8,NYG 24,6,6,Jay Cutler pass incomplete short right intended for Jordan Howard,3.570,0.000
1,1:07,,,,6,6,Timeout #1 by Chicago Bears,0.000,-2.870
1,1:07,3,8,NYG 24,6,6,Jay Cutler pass complete short right to Eddie Royal for 2 yards (tackle by Nat Berhe and Keenan Robinson),2.870,2.020
1,0:29,4,6,NYG 22,9,6,Connor Barth 40 yard field goal good,2.020,3.000
1,0:24,,,CHI 35,9,6,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
1,0:24,1,10,NYG 25,9,6,Rashad Jennings left guard for 1 yard (tackle by C.J. Wilson and Akiem Hicks),0.610,0.200
Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NYG 26,9,6,"Eli Manning pass complete short left to Will Tye for 10 yards (tackle by Deon Bush). Penalty on Ereck Flowers: Offensive Holding, 10 yards (no play)",0.200,-1.290
2,14:32,2,19,NYG 16,9,6,Eli Manning pass complete short middle to Sterling Shepard for 3 yards (tackle by Bryce Callahan),-1.290,-1.510
2,13:59,3,16,NYG 19,9,6,Eli Manning pass complete short right to Paul Perkins for 13 yards (tackle by Adrian Amos),-1.510,-1.240
2,13:25,4,3,NYG 32,9,6,"Brad Wing punts 54 yards, muffed catch by Eddie Royal, recovered by Eddie Royal and returned for 8 yards (tackle by Zak DeOssie)",-1.240,-0.340
2,13:10,1,10,CHI 21,9,6,Jordan Howard left end for 12 yards (tackle by Landon Collins and Andrew Adams),0.340,1.140
2,12:30,1,10,CHI 33,9,6,Jordan Howard right tackle for 3 yards (tackle by Johnathan Hankins),1.140,1.000
2,11:54,2,7,CHI 36,9,6,Jay Cutler pass complete short left to Deonte Thompson for 10 yards (tackle by Landon Collins),1.000,1.990
2,11:17,1,10,CHI 46,9,6,Jay Cutler pass complete deep middle to Cameron Meredith for 16 yards (tackle by Landon Collins),1.990,3.050
2,10:39,1,10,NYG 38,9,6,Jordan Howard left tackle for 4 yards (tackle by Kelvin Sheppard and Damon Harrison),3.050,3.050
2,10:02,2,6,NYG 34,9,6,Jordan Howard right end for 27 yards (tackle by Landon Collins),3.050,5.600
2,9:34,1,7,NYG 7,9,6,Jeremy Langford right guard for 6 yards (tackle by Eli Apple and Andrew Adams),5.600,5.910
2,8:57,2,1,NYG 1,9,6,Penalty on NYG: Defensive 12 On-field (no play),5.910,5.910
2,8:39,2,1,NYG 1,15,6,"Jeremy Langford left guard for 1 yard, touchdown",5.910,7.000
2,8:35,,,NYG 15,16,6,Connor Barth kicks extra point good,0.000,0.000
2,8:35,,,CHI 35,16,6,"Connor Barth kicks off 67 yards, returned by Dwayne Harris for 17 yards (tackle by Adrian Amos)",0.000,0.220
2,8:29,1,10,NYG 15,16,6,Eli Manning pass incomplete short right intended for Roger Lewis (defended by Tracy Porter),-0.220,-0.710
2,8:26,2,10,NYG 15,16,6,Eli Manning pass complete short middle to Rashad Jennings for 12 yards (tackle by Danny Trevathan),-0.710,0.740
2,8:02,1,10,NYG 27,16,6,Rashad Jennings left end for 3 yards (tackle by Jerrell Freeman and Deon Bush),0.740,0.600
