Unnamed: 0,CHI,NYG
First Downs,17,19
Rush-Yds-TDs,25-93-1,29-102-1
Cmp-Att-Yd-TD-INT,17-30-252-1-1,21-36-227-2-0
Sacked-Yards,4-30,0-0
Net Pass Yards,222,227
Total Yards,315,329
Fumbles-Lost,2-0,2-0
Turnovers,1,0
Penalties-Yards,5-40,4-35
Third Down Conv.,4-12,5-14
Fourth Down Conv.,0-0,2-2
Time of Possession,30:29,29:31
