Quarter,Time,Tm,Detail,NOR,TAM
1.0,12:22,Buccaneers,Tiquan Underwood 13 yard pass from Josh Freeman (Connor Barth kick),0,7
,5:55,Buccaneers,Doug Martin 36 yard rush (Connor Barth kick),0,14
,1:46,Saints,Marques Colston 17 yard pass from Drew Brees (Garrett Hartley kick),7,14
2.0,13:18,Buccaneers,Vincent Jackson 17 yard pass from Josh Freeman (Connor Barth kick),7,21
,9:24,Saints,Darren Sproles 9 yard pass from Drew Brees (Garrett Hartley kick),14,21
,4:35,Saints,Joe Morgan 48 yard pass from Drew Brees (Garrett Hartley kick),21,21
,0:15,Saints,David Thomas 20 yard pass from Drew Brees (Garrett Hartley kick),28,21
4.0,13:23,Saints,Pierre Thomas 5 yard rush (Garrett Hartley kick),35,21
,4:10,Buccaneers,Dallas Clark 3 yard pass from Josh Freeman (Connor Barth kick),35,28
