Unnamed: 0,NOR,TAM
First Downs,23,26
Rush-Yds-TDs,26-81-1,24-102-1
Cmp-Att-Yd-TD-INT,27-37-377-4-1,24-42-420-3-0
Sacked-Yards,0-0,2-9
Net Pass Yards,377,411
Total Yards,458,513
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,7-55,7-50
Third Down Conv.,9-15,4-12
Fourth Down Conv.,0-0,2-3
Time of Possession,26:15,33:45
