Quarter,Time,Down,ToGo,Location,NOR,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Michael Koenen kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,NOR 20,0,0,Drew Brees pass complete short right to Darren Sproles for 7 yards (tackle by Brandon McDonald),0.280,0.680
1,14:27,2,3,NOR 27,0,0,Pierre Thomas up the middle for 4 yards (tackle by Quincy Black and Gerald McCoy),0.680,1.000
1,13:51,1,10,NOR 31,0,0,Pierre Thomas right guard for 6 yards (tackle by E.J. Biggers),1.000,1.270
1,13:17,2,4,NOR 37,0,0,Drew Brees for 1 yard,1.270,0.700
1,12:41,3,3,NOR 38,0,0,Drew Brees pass incomplete short middle intended for Marques Colston is intercepted by Ronde Barber at NOR-43 and returned for 30 yards,0.700,-4.710
1,12:27,1,10,NOR 13,0,6,"Josh Freeman pass complete short middle to Tiquan Underwood for 13 yards, touchdown",4.710,7.000
1,12:27,,,NOR 2,0,7,Connor Barth kicks extra point good,0.000,0.000
1,12:22,,,TAM 35,0,7,"Michael Koenen kicks off 74 yards, touchback",0.000,0.280
1,12:22,1,10,NOR 20,0,7,Drew Brees pass complete short left to Devery Henderson for 5 yards (tackle by E.J. Biggers),0.280,0.000
1,11:46,,,,0,7,Timeout #1 by New Orleans Saints,0.000,0.410
1,11:46,2,5,NOR 25,0,7,Mark Ingram up the middle for 3 yards (tackle by Gerald McCoy and Lavonte David),0.410,0.100
1,11:13,3,2,NOR 28,0,7,Drew Brees pass incomplete short right intended for Marques Colston (defended by Eric Wright),0.100,-1.500
1,11:05,4,2,NOR 28,0,7,"Thomas Morstead punts 57 yards, returned by Roscoe Parrish for 9 yards (tackle by Travaris Cadet)",-1.500,-0.540
1,10:53,1,10,TAM 24,0,7,Doug Martin left tackle for 1 yard (tackle by Curtis Lofton),0.540,0.130
1,10:08,2,9,TAM 25,0,7,Josh Freeman pass complete short left to Mike Williams for 8 yards (tackle by Patrick Robinson),0.130,0.500
1,9:22,3,1,TAM 33,0,7,Josh Freeman pass complete short left to Erik Lorig for 6 yards (tackle by Curtis Lofton),0.500,1.530
1,8:41,1,10,TAM 39,0,7,Josh Freeman pass incomplete deep middle intended for Mike Williams,1.530,0.990
,,,,,,,"NOR challenged the incomplete pass ruling, and the play was upheld.",,
1,8:32,2,10,TAM 39,0,7,Josh Freeman left end for 13 yards,0.990,2.390
1,7:45,1,10,NOR 48,0,7,Doug Martin right guard for 8 yards (tackle by Scott Shanle and Malcolm Jenkins),2.390,2.930
1,7:00,2,2,NOR 40,0,7,Josh Freeman pass incomplete deep right intended for Vincent Jackson,2.930,2.210
1,6:54,3,2,NOR 40,0,7,DJ Ware left guard for 4 yards (tackle by Roman Harper),2.210,3.180
1,6:11,1,10,NOR 36,0,7,Josh Freeman pass incomplete short left intended for Vincent Jackson (defended by Jonathan Vilma),3.180,2.640
1,6:05,2,10,NOR 36,0,13,"Doug Martin left guard for 36 yards, touchdown",2.640,7.000
1,6:05,,,NOR 2,0,14,Connor Barth kicks extra point good,0.000,0.000
1,5:55,,,TAM 35,0,14,"Michael Koenen kicks off 65 yards, touchback",0.000,0.280
1,5:55,1,10,NOR 20,0,14,"Pierre Thomas left guard for 5 yards (tackle by E.J. Biggers). Penalty on Marques Colston: Offensive Holding (Declined), Penalty on Ben Grubbs: Offensive Holding, 10 yards (no play)",0.280,-0.760
1,5:39,1,20,NOR 10,0,14,Pierre Thomas right guard for 1 yard (tackle by Mason Foster and Daniel Te'o-Nesheim),-0.760,-1.440
1,5:07,2,19,NOR 11,0,14,Drew Brees pass complete short left to Marques Colston for 15 yards (tackle by Eric Wright),-1.440,-0.160
1,4:41,3,4,NOR 26,0,14,Drew Brees pass complete short left to Marques Colston for 6 yards (tackle by Mark Barron). Penalty on Brandon McDonald: Defensive Holding (Declined),-0.160,1.070
1,4:25,1,10,NOR 32,0,14,Drew Brees pass complete deep right to Devery Henderson for 40 yards (tackle by Eric Wright),1.070,3.710
1,3:43,1,10,TAM 28,0,14,Darren Sproles up the middle for 8 yards (tackle by Ronde Barber and Brandon McDonald),3.710,4.250
1,3:09,2,2,TAM 20,0,14,Mark Ingram left guard for 1 yard (tackle by E.J. Biggers),4.250,3.720
1,2:31,3,1,TAM 19,0,14,Drew Brees pass complete short right to Lance Moore for 2 yards (tackle by Eric Wright),3.720,4.440
1,1:55,1,10,TAM 17,6,14,"Drew Brees pass complete short right to Marques Colston for 17 yards, touchdown",4.440,7.000
