Unnamed: 0,WAS,DAL
First Downs,16,19
Rush-Yds-TDs,25-83-0,36-211-0
Cmp-Att-Yd-TD-INT,21-37-243-3-4,12-25-145-2-0
Sacked-Yards,1-11,4-28
Net Pass Yards,232,117
Total Yards,315,328
Fumbles-Lost,1-0,2-0
Turnovers,4,0
Penalties-Yards,6-56,6-48
Third Down Conv.,3-13,3-14
Fourth Down Conv.,1-2,0-0
Time of Possession,27:02,32:58
