Quarter,Time,Tm,Detail,WAS,DAL
2.0,13:24,Cowboys,Antonio Bryant 29 yard pass from Chad Hutchinson (Billy Cundiff kick),0,7
,11:28,Redskins,Rod Gardner 40 yard pass from Danny Wuerffel (James Tuthill kick),7,7
,5:36,Cowboys,Billy Cundiff 21 yard field goal,7,10
,1:55,Redskins,Zeron Flemister 16 yard pass from Danny Wuerffel (James Tuthill kick),14,10
3.0,12:52,Redskins,Derrius Thompson 11 yard pass from Danny Wuerffel (James Tuthill kick failed),20,10
,8:53,Cowboys,Roy Williams 5 yard interception return (Billy Cundiff kick),20,17
4.0,10:05,Cowboys,Joey Galloway 41 yard pass from Chad Hutchinson (Billy Cundiff kick),20,24
,4:23,Cowboys,Billy Cundiff 42 yard field goal,20,27
