Quarter,Time,Down,ToGo,Location,HOU,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Rob Bironas kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,HOU 20,0,0,Arian Foster right tackle for 1 yard (tackle by Cortland Finnegan),0.280,-0.130
1,14:22,2,9,HOU 21,0,0,Arian Foster right guard for 7 yards (tackle by Shaun Smith and Jason McCourty),-0.130,0.100
1,13:43,3,2,HOU 28,0,0,Arian Foster left tackle for -1 yards (tackle by Shaun Smith),0.100,-1.570
1,13:17,4,3,HOU 27,0,0,"Brett Hartmann punts 57 yards, returned by Marc Mariani for 18 yards (tackle by Joel Dreessen). Penalty on Tim Shaw: Illegal Block Above the Waist, 10 yards",-1.570,-0.150
1,13:02,1,10,TEN 19,0,0,Chris Johnson left end for 2 yards (tackle by Danieal Manning),0.150,-0.060
1,12:30,2,8,TEN 21,0,0,Chris Johnson up the middle for 1 yard (tackle by Kareem Jackson),-0.060,-0.680
1,11:44,3,7,TEN 22,0,0,"Matt Hasselbeck pass incomplete deep left intended for Donnie Avery. Penalty on Kareem Jackson: Defensive Pass Interference, 30 yards (no play)",-0.680,2.390
1,11:39,1,10,HOU 48,0,0,Matt Hasselbeck pass incomplete deep left intended for Damian Williams,2.390,1.850
1,11:33,2,10,HOU 48,0,0,Chris Johnson left end for 2 yards (tackle by Brian Cushing),1.850,1.420
1,10:55,3,8,HOU 46,0,0,Matt Hasselbeck pass incomplete short right intended for Nate Washington,1.420,0.200
1,10:50,4,8,HOU 46,0,0,"Brett Kern punts 46 yards, touchback",0.200,-0.280
1,10:42,1,10,HOU 20,0,0,Arian Foster left end for 16 yards (tackle by Michael Griffin),0.280,1.330
1,10:09,1,10,HOU 36,0,0,Matt Schaub pass incomplete deep right intended for Kevin Walter,1.330,0.790
1,10:02,2,10,HOU 36,0,0,Matt Schaub pass incomplete deep right intended for Jacoby Jones,0.790,0.100
1,9:55,3,10,HOU 36,0,0,Matt Schaub pass incomplete deep left intended for Jacoby Jones,0.100,-0.980
1,9:49,4,10,HOU 36,0,0,"Brett Hartmann punts 39 yards, returned by Marc Mariani for 20 yards (tackle by Darryl Sharpton)",-0.980,-1.930
