Quarter,Time,Tm,Detail,MIA,BUF
1.0,11:23,Dolphins,Chris Chambers 23 yard pass from Jay Fiedler (Olindo Mare kick),7,0
,1:53,Dolphins,Olindo Mare 28 yard field goal,10,0
2.0,8:51,Dolphins,Olindo Mare 30 yard field goal,13,0
3.0,12:02,Bills,Rian Lindell 23 yard field goal,13,3
,7:45,Dolphins,Terrell Buckley 74 yard interception return (Olindo Mare kick),20,3
