Quarter,Time,Tm,Detail,CAR,ATL
1.0,2:47,Falcons,Younghoe Koo 37 yard field goal,0,3
2.0,14:51,Panthers,Joey Slye 46 yard field goal,3,3
,5:15,Falcons,Calvin Ridley 15 yard pass from Matt Ryan (Younghoe Koo kick),3,10
,1:05,Panthers,Ian Thomas 1 yard pass from Kyle Allen (Joey Slye kick),10,10
,0:00,Falcons,Younghoe Koo 35 yard field goal,10,13
3.0,11:08,Falcons,Devonta Freeman 13 yard rush (Younghoe Koo kick),10,20
,6:30,Falcons,Olamide Zaccheaus 93 yard pass from Matt Ryan (Younghoe Koo kick),10,27
,4:55,Falcons,Younghoe Koo 29 yard field goal,10,30
4.0,11:40,Falcons,Younghoe Koo 50 yard field goal,10,33
,7:54,Panthers,Joey Slye 42 yard field goal,13,33
,5:08,Falcons,Brian Hill 3 yard rush (Younghoe Koo kick),13,40
,1:26,Panthers,Kyle Allen 1 yard rush (Joey Slye kick),20,40
