Unnamed: 0,CAR,ATL
First Downs,27,22
Rush-Yds-TDs,22-100-1,32-159-2
Cmp-Att-Yd-TD-INT,28-41-293-1-2,20-34-313-2-0
Sacked-Yards,5-48,1-11
Net Pass Yards,245,302
Total Yards,345,461
Fumbles-Lost,3-2,0-0
Turnovers,4,0
Penalties-Yards,7-44,6-58
Third Down Conv.,3-10,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:16,31:44
