Unnamed: 0,GNB,ATL
First Downs,19,18
Rush-Yds-TDs,20-57-0,22-95-1
Cmp-Att-Yd-TD-INT,26-39-396-2-0,18-32-167-1-2
Sacked-Yards,4-27,1-11
Net Pass Yards,369,156
Total Yards,426,251
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,6-55,5-44
Third Down Conv.,9-15,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,33:11,26:49
