Unnamed: 0,CAR,ATL
First Downs,20,13
Rush-Yds-TDs,32-154-0,26-130-2
Cmp-Att-Yd-TD-INT,20-38-146-1-2,15-18-115-1-0
Sacked-Yards,2-19,4-24
Net Pass Yards,127,91
Total Yards,281,221
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,9-66,6-43
Third Down Conv.,5-14,2-10
Fourth Down Conv.,0-2,0-0
Time of Possession,34:41,25:19
