Quarter,Time,Tm,Detail,NWE,HOU
1.0,8:44,Texans,Ben Tate 8 yard rush (Randy Bullock kick),0,7
,4:10,Texans,Randy Bullock 43 yard field goal,0,10
,1:25,Patriots,Rob Gronkowski 23 yard pass from Tom Brady (Stephen Gostkowski kick),7,10
2.0,1:47,Texans,Ben Tate 20 yard rush (Randy Bullock kick),7,17
3.0,12:41,Patriots,James Develin 1 yard rush (Stephen Gostkowski kick),14,17
,8:06,Patriots,Shane Vereen 9 yard pass from Tom Brady (Stephen Gostkowski kick),21,17
,2:11,Texans,Case Keenum 5 yard rush (Randy Bullock kick),21,24
4.0,13:09,Patriots,LeGarrette Blount 7 yard rush (Stephen Gostkowski kick),28,24
,11:35,Texans,Ben Tate 10 yard rush (Randy Bullock kick),28,31
,7:16,Patriots,Stephen Gostkowski 53 yard field goal,31,31
,3:12,Patriots,Stephen Gostkowski 53 yard field goal,34,31
