Unnamed: 0,CHI,ATL
First Downs,22,18
Rush-Yds-TDs,23-79-1,30-75-0
Cmp-Att-Yd-TD-INT,26-43-286-1-0,22-30-301-1-0
Sacked-Yards,1-4,0-0
Net Pass Yards,282,301
Total Yards,361,376
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,6-57,6-46
Third Down Conv.,9-16,6-14
Fourth Down Conv.,1-2,0-0
Time of Possession,29:10,30:50
