Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
2,7:40,1,10,CHI 31,0,9,Kyle Orton pass complete short middle to Desmond Clark for 13 yards (tackle by Brent Grimes),1.000,1.860
2,7:00,1,10,CHI 44,0,9,Kyle Orton pass complete deep right to Devin Hester for 16 yards (tackle by Brent Grimes),1.860,2.920
2,6:38,1,10,ATL 40,0,9,Matt Forte up the middle for no gain (tackle by Jamaal Anderson),2.920,2.370
2,5:57,2,10,ATL 40,0,9,Kyle Orton pass complete deep left to Devin Hester for 17 yards (tackle by Chris Houston). Penalty on Curtis Lofton: Illegal Contact (Declined),2.370,4.040
2,5:24,1,10,ATL 23,0,9,Kyle Orton pass incomplete,4.040,3.500
2,5:16,2,10,ATL 23,0,9,"Matt Forte up the middle for 5 yards (tackle by John Abraham and Curtis Lofton). Penalty on Roberto Garza: Offensive Holding, 10 yards (no play)",3.500,2.150
2,4:56,2,20,ATL 33,0,9,Kyle Orton pass complete short left to Marty Booker for 15 yards (tackle by Chris Houston),2.150,3.490
2,4:12,3,5,ATL 18,0,9,Kyle Orton pass incomplete deep right intended for Marty Booker (defended by Brent Grimes),3.490,2.300
2,4:07,4,5,ATL 18,3,9,Robbie Gould 36 yard field goal good,2.300,3.000
2,,,,CHI 30,3,9,"Robbie Gould kicks off 72 yards, returned by Jerious Norwood for 30 yards (tackle by Adrian Peterson)",0.000,0.810
2,3:56,1,10,ATL 28,3,9,Matt Ryan pass incomplete short right intended for Roddy White (defended by Charles Tillman),0.810,0.260
2,3:52,2,10,ATL 28,3,9,Michael Turner left tackle for 2 yards (tackle by Brian Urlacher),0.260,-0.160
2,3:17,3,8,ATL 30,3,9,Matt Ryan pass complete short right to Roddy White for 15 yards (tackle by Danieal Manning),-0.160,1.930
2,2:35,1,10,ATL 45,3,9,Michael Turner left tackle for 12 yards (tackle by Adewale Ogunleye),1.930,2.720
2,2:00,1,10,CHI 43,3,9,"Matt Ryan pass incomplete deep right intended for Roddy White. Penalty on Roddy White: Offensive Pass Interference, 10 yards (no play)",2.720,2.060
2,1:53,1,20,ATL 47,3,9,Matt Ryan pass complete short left to Roddy White for 15 yards (tackle by Marcus Hamilton),2.060,2.850
2,1:21,,,,3,9,Timeout #2 by Chicago Bears,0.000,2.850
2,1:21,2,5,CHI 38,3,9,Matt Ryan pass complete short right to Roddy White for 1 yard (tackle by Corey Graham),2.850,2.280
2,0:48,3,4,CHI 37,3,9,Matt Ryan pass incomplete short left intended for Harry Douglas (defended by Mike Brown),2.280,0.790
2,0:44,4,4,CHI 37,3,9,"Michael Koenen punts 37 yards, touchback",0.790,-0.280
2,0:36,1,10,CHI 20,3,9,Kyle Orton pass complete short left to Marty Booker for 7 yards (tackle by Brent Grimes),0.280,0.680
2,0:16,2,3,CHI 27,3,9,Kyle Orton pass incomplete deep right intended for Devin Hester,0.680,-0.030
2,0:12,3,3,CHI 27,3,9,Matt Forte up the middle for 10 yards (tackle by Keith Brooking),-0.030,1.400
Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,3,9,"Michael Koenen kicks off 66 yards, returned by Danieal Manning for 19 yards (tackle by Jason Snelling)",0.000,0.480
