Quarter,Time,Tm,Detail,WAS,JAX
1.0,1:50,Redskins,Dustin Hopkins 46 yard field goal,3,0
2.0,3:22,Jaguars,Kai Forbath 33 yard field goal,3,3
,0:04,Jaguars,Dede Westbrook 74 yard punt return (Kai Forbath kick),3,10
3.0,7:32,Redskins,Dustin Hopkins 33 yard field goal,6,10
4.0,11:16,Jaguars,Kai Forbath 41 yard field goal,6,13
,5:47,Redskins,Jeremy Sprinkle 6 yard pass from Josh Johnson (Dustin Hopkins kick),13,13
,0:00,Redskins,Dustin Hopkins 36 yard field goal,16,13
