Quarter,Time,Down,ToGo,Location,WAS,JAX,Detail,EPB,EPA
1,6:04,3,3,JAX 49,0,0,Josh Johnson pass complete short right to Jamison Crowder for 5 yards (tackle by D.J. Hayden),1.550,2.650
1,5:34,1,10,JAX 44,0,0,Chris Thompson up the middle for 4 yards (tackle by Calais Campbell),2.650,2.650
1,4:57,2,6,JAX 40,0,0,Josh Johnson pass complete short left to Byron Marshall for 17 yards (tackle by Myles Jack),2.650,4.040
1,4:15,1,10,JAX 23,0,0,Josh Johnson sacked by Abry Jones for no gain,4.040,3.500
1,3:32,2,10,JAX 23,0,0,Chris Thompson left end for 1 yard (tackle by Abry Jones),3.500,2.940
1,2:46,,,,,,Timeout #1 by Washington Redskins,,
1,2:46,3,9,JAX 22,0,0,"Josh Johnson pass incomplete short left intended for Michael Floyd. Penalty on Michael Floyd: Offensive Pass Interference, 10 yards (no play)",2.940,1.620
1,2:40,3,19,JAX 32,0,0,Chris Thompson up the middle for 4 yards (tackle by Telvin Smith),1.620,1.590
1,1:55,4,15,JAX 28,3,0,Dustin Hopkins 46 yard field goal good,1.590,3.000
1,1:50,,,WAS 35,3,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,1:50,1,10,JAX 25,3,0,Cody Kessler pass complete short right to Blake Bell for 6 yards (tackle by Preston Smith),0.610,0.870
1,1:13,2,4,JAX 31,3,0,Leonard Fournette up the middle for -2 yards (tackle by Jonathan Allen),0.870,-0.100
1,0:32,3,6,JAX 29,3,0,Cody Kessler sacked by Zach Brown for -5 yards,-0.100,-1.770
Quarter,Time,Down,ToGo,Location,WAS,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,11,JAX 24,3,0,"Logan Cooke punts 45 yards, returned by Maurice Harris for 5 yards (tackle by Cody Davis)",-1.770,-1.330
2,14:50,1,10,WAS 36,3,0,"Penalty on Morgan Moses: False Start, 5 yards (no play)",1.330,1.000
2,14:50,1,15,WAS 31,3,0,"Penalty on Calais Campbell: Neutral Zone Infraction, 5 yards (no play)",1.000,1.330
2,14:49,1,10,WAS 36,3,0,Chris Thompson up the middle for -3 yards (tackle by Jarrod Wilson),1.330,0.390
2,14:06,2,13,WAS 33,3,0,Josh Johnson pass incomplete short right intended for Chris Thompson,0.390,-0.300
2,14:02,3,13,WAS 33,3,0,"Josh Johnson right end for no gain (tackle by D.J. Hayden). Penalty on Luke Bowanko: Offensive Holding, 10 yards (no play)",-0.300,-1.620
2,13:34,3,23,WAS 23,3,0,Josh Johnson pass complete short right to Chris Thompson for 4 yards (tackle by Calais Campbell),-1.620,-1.570
2,12:59,4,19,WAS 27,3,0,"Tress Way punts 49 yards, returned by Dede Westbrook for 9 yards (tackle by Deshazor Everett)",-1.570,-1.140
2,12:42,1,10,JAX 33,3,0,Cody Kessler pass complete short left to Leonard Fournette for 13 yards (tackle by Josh Norman),1.140,1.990
2,12:13,1,10,JAX 46,3,0,Cody Kessler pass complete short right to Leonard Fournette for 3 yards (tackle by Mason Foster),1.990,1.860
2,11:47,2,7,JAX 49,3,0,Leonard Fournette up the middle for no gain (tackle by Ryan Kerrigan),1.860,1.160
2,11:14,3,7,JAX 49,3,0,Cody Kessler pass incomplete short middle intended for Donte Moncrief (defended by Ha Ha Clinton-Dix),1.160,-0.130
2,11:08,4,7,JAX 49,3,0,"Logan Cooke punts 42 yards, fair catch by Maurice Harris at WAS-9",-0.130,0.380
2,11:02,1,10,WAS 9,3,0,Adrian Peterson left end for 5 yards (tackle by Yannick Ngakoue),-0.380,-0.390
2,10:25,2,5,WAS 14,3,0,"Josh Johnson pass complete short right to Jamison Crowder for 1 yard (tackle by Telvin Smith). Penalty on Jeremy Sprinkle: Illegal Block Above the Waist, 7 yards (no play)",-0.390,-0.930
2,10:00,2,12,WAS 7,3,0,Adrian Peterson up the middle for 4 yards (tackle by Taven Bryan),-0.930,-1.190
2,9:25,,,,,,Timeout #2 by Washington Redskins,,
2,9:25,3,8,WAS 11,3,0,Josh Johnson pass complete short middle to Michael Floyd for 5 yards (tackle by D.J. Hayden),-1.190,-2.390
2,8:53,4,3,WAS 16,3,0,Tress Way punts 30 yards downed by Jehu Chesson,-2.390,-2.520
2,8:42,1,10,WAS 46,3,0,Leonard Fournette up the middle for 5 yards (tackle by D.J. Swearinger),2.520,2.650
2,8:04,2,5,WAS 41,3,0,Leonard Fournette up the middle for 2 yards (tackle by Da'Ron Payne),2.650,2.210
2,7:23,3,3,WAS 39,3,0,Cody Kessler right end for 6 yards (tackle by Pernell McPhee),2.210,3.380
2,6:44,1,10,WAS 33,3,0,Cody Kessler pass incomplete deep left intended for Donte Moncrief,3.380,2.840
2,6:37,2,10,WAS 33,3,0,Leonard Fournette up the middle for 4 yards (tackle by Stacy McGee),2.840,2.680
2,5:54,3,6,WAS 29,3,0,Cody Kessler right end for 12 yards (tackle by Ha Ha Clinton-Dix),2.680,4.440
2,5:16,1,10,WAS 17,3,0,"T.J. Yeldon up the middle for no gain (tackle by Jonathan Allen). Penalty on Keelan Cole: Illegal Motion, 5 yards (no play)",4.440,4.110
2,4:54,1,15,WAS 22,3,0,Cody Kessler sacked by Jonathan Allen for -7 yards,4.110,2.270
2,4:14,2,22,WAS 29,3,0,Cody Kessler pass incomplete short right. Penalty on Tyler Shatley: Ineligible Downfield Pass (Declined),2.270,1.620
2,4:11,3,22,WAS 29,3,0,Cody Kessler up the middle for 14 yards (tackle by Zach Brown and Mason Foster),1.620,2.440
2,3:26,4,8,WAS 15,3,3,Kai Forbath 33 yard field goal good,2.440,3.000
2,3:22,,,JAX 35,3,3,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
2,3:22,1,10,WAS 25,3,3,Josh Johnson pass complete short middle to Adrian Peterson for 13 yards (tackle by Myles Jack),0.610,1.470
2,2:45,1,10,WAS 38,3,3,Josh Johnson pass complete short right to Jeremy Sprinkle for 4 yards (tackle by Nick DeLuca),1.470,1.460
2,2:11,2,6,WAS 42,3,3,Adrian Peterson up the middle for -2 yards (tackle by Calais Campbell),1.460,0.500
2,2:00,3,8,WAS 40,3,3,Josh Johnson pass incomplete deep right intended for Vernon Davis (defended by Jarrod Wilson),0.500,-0.720
2,1:55,4,8,WAS 40,3,3,Tress Way punts 58 yards downed by Danny Johnson,-0.720,0.380
2,1:46,1,10,JAX 2,3,3,T.J. Yeldon up the middle for no gain (tackle by Stacy McGee),-0.380,-0.780
2,1:04,2,10,JAX 2,3,3,Leonard Fournette up the middle for 1 yard (tackle by Ryan Kerrigan). Penalty on Ereck Flowers: Illegal Formation (Declined),-0.780,-1.300
2,0:58,3,9,JAX 3,3,3,Cody Kessler pass complete short right to James O'Shaughnessy for 7 yards (tackle by Josh Norman),-1.300,-2.490
2,0:52,4,2,JAX 10,3,3,"Logan Cooke punts 72 yards, muffed catch by Maurice Harris, recovered by Maurice Harris at WAS-18, returned by Maurice Harris for no gain (tackle by Quenton Meeks)",-2.490,-0.040
2,0:43,1,10,WAS 18,3,3,"Adrian Peterson left end for no gain (tackle by Myles Jack). Penalty on Jamison Crowder: Illegal Block Above the Waist, 8 yards (no play)",0.040,-0.680
2,0:43,1,18,WAS 10,3,3,Adrian Peterson left end for -1 yards (tackle by Dawuane Smoot),-0.680,-1.440
2,0:28,2,19,WAS 9,3,3,Adrian Peterson left end for no gain (tackle by Tashaun Gipson and Jarrod Wilson),-1.440,-2.470
2,0:28,3,19,WAS 9,3,3,Josh Johnson pass complete short left to Maurice Harris for 13 yards (tackle by A.J. Bouye),-2.470,-1.900
2,0:23,4,6,WAS 22,3,9,"Tress Way punts 52 yards, returned by Dede Westbrook for 74 yards, touchdown",-1.900,-7.000
2,0:04,,,JAX 35,3,10,"Logan Cooke kicks off 37 yards, returned by Byron Marshall for no gain (tackle by Tre Herndon)",0.000,1.270
Quarter,Time,Down,ToGo,Location,WAS,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,3,10,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,WAS 25,3,10,Josh Johnson right end for 3 yards (tackle by Myles Jack),0.610,0.470
3,14:24,2,7,WAS 28,3,10,Adrian Peterson up the middle for 3 yards (tackle by Tashaun Gipson),0.470,0.170
3,13:42,3,4,WAS 31,3,10,"Josh Johnson pass incomplete short left intended for Vernon Davis. Penalty on Tashaun Gipson: Defensive Holding, 5 yards (no play)",0.170,1.330
3,13:37,1,10,WAS 36,3,10,Josh Johnson pass incomplete deep left intended for Michael Floyd (defended by Jalen Ramsey),1.330,0.790
3,13:30,2,10,WAS 36,3,10,"Josh Johnson pass incomplete short left intended for Vernon Davis. Penalty on A.J. Bouye: Unnecessary Roughness, 15 yards (no play)",0.790,2.320
3,13:25,1,10,JAX 49,3,10,Adrian Peterson up the middle for -2 yards (tackle by Abry Jones),2.320,1.510
3,12:47,2,12,WAS 49,3,10,Chris Thompson right end for 3 yards (tackle by Jalen Ramsey),1.510,1.220
3,12:00,3,9,JAX 48,3,10,Josh Johnson right end for 10 yards (tackle by Jarrod Wilson),1.220,3.050
3,11:27,1,10,JAX 38,3,10,Adrian Peterson up the middle for no gain (tackle by Calais Campbell),3.050,2.510
3,10:46,2,10,JAX 38,3,10,Josh Johnson up the middle for 9 yards (tackle by D.J. Hayden),2.510,3.010
3,10:04,3,1,JAX 29,3,10,Josh Johnson pass complete short right to Jamison Crowder for 3 yards (tackle by D.J. Hayden),3.010,3.840
3,9:19,1,10,JAX 26,3,10,Josh Johnson pass incomplete short right,3.840,3.300
3,9:12,2,10,JAX 26,3,10,Josh Johnson pass incomplete short right intended for Adrian Peterson,3.300,2.610
3,9:04,3,10,JAX 26,3,10,Josh Johnson pass complete short right to Michael Floyd for 11 yards (tackle by Jalen Ramsey),2.610,4.580
3,8:25,1,10,JAX 15,3,10,Adrian Peterson up the middle for no gain (tackle by Myles Jack),4.580,3.950
3,7:48,2,10,JAX 15,3,10,Josh Johnson pass incomplete short left. Penalty on Ty Nsekhe: Ineligible Downfield Pass (Declined),3.950,3.100
3,7:42,3,10,JAX 15,3,10,Josh Johnson pass incomplete short right intended for Josh Doctson,3.100,2.440
3,7:37,4,10,JAX 15,6,10,Dustin Hopkins 33 yard field goal good,2.440,3.000
3,7:32,,,WAS 35,6,10,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,7:32,1,10,JAX 25,6,10,Cody Kessler pass complete short right to Dede Westbrook for 8 yards (tackle by Shaun Dion Hamilton),0.610,1.140
3,6:55,2,2,JAX 33,6,10,David Williams right end for 2 yards (tackle by Shaun Dion Hamilton),1.140,1.270
3,6:21,1,10,JAX 35,6,10,Cody Kessler pass incomplete short right,1.270,0.720
3,6:16,2,10,JAX 35,6,10,Cody Kessler pass incomplete short left intended for Dede Westbrook,0.720,0.040
3,6:10,3,10,JAX 35,6,10,Cody Kessler sacked by Ryan Kerrigan for -5 yards,0.040,-1.370
3,5:35,4,15,JAX 30,6,10,"Logan Cooke punts 61 yards, returned by Maurice Harris for 6 yards (tackle by Jarrod Wilson)",-1.370,0.220
3,5:23,1,10,WAS 15,6,10,"Chris Thompson right end for no gain (tackle by Myles Jack). Penalty on Morgan Moses: Offensive Holding, 8 yards (no play)",-0.220,-0.680
3,4:56,1,18,WAS 7,6,10,Josh Johnson left end for 16 yards (tackle by Myles Jack),-0.680,0.480
3,4:19,2,2,WAS 23,6,10,Adrian Peterson up the middle for 4 yards (tackle by Jarrod Wilson),0.480,0.740
3,3:39,1,10,WAS 27,6,10,Josh Johnson up the middle for -1 yards (tackle by Taven Bryan),0.740,0.060
3,3:15,2,11,WAS 26,6,10,Josh Johnson pass complete short right to Jamison Crowder for 5 yards (tackle by Jalen Ramsey),0.060,0.040
3,2:30,3,6,WAS 31,6,10,Josh Johnson left end for 3 yards (tackle by D.J. Hayden),0.040,-1.110
3,1:55,4,3,WAS 34,6,10,"Tress Way punts 55 yards, returned by Dede Westbrook for 1 yard (tackle by Adonis Alexander)",-1.110,0.350
3,1:44,1,10,JAX 12,6,10,Dede Westbrook right end for 20 yards (tackle by Mason Foster),-0.350,1.070
3,1:04,1,10,JAX 32,6,10,David Williams right end for 15 yards (tackle by Ha Ha Clinton-Dix),1.070,2.060
3,0:27,1,10,JAX 47,6,10,"David Williams up the middle for no gain (tackle by D.J. Swearinger) Penalty on JAX: Illegal Shift, 5 yards (no play)",2.060,1.730
Quarter,Time,Down,ToGo,Location,WAS,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,15,JAX 42,6,10,Cody Kessler pass complete short right to T.J. Yeldon for 5 yards (tackle by Zach Brown),1.730,1.520
4,14:31,2,10,JAX 47,6,10,T.J. Yeldon up the middle for 5 yards (tackle by Da'Ron Payne),1.520,1.490
4,13:53,3,5,WAS 48,6,10,Cody Kessler up the middle for 21 yards (tackle by Josh Norman),1.490,3.780
4,13:04,1,10,WAS 27,6,10,Cody Kessler sacked by Shaun Dion Hamilton and Preston Smith for -4 yards,3.780,2.690
4,12:23,2,14,WAS 31,6,10,Cody Kessler up the middle for 3 yards (tackle by Preston Smith and Da'Ron Payne),2.690,2.410
4,11:59,3,11,WAS 28,6,10,Cody Kessler pass complete short right to Dede Westbrook for 5 yards (tackle by Josh Norman and Danny Johnson),2.410,1.950
4,11:21,4,6,WAS 23,6,13,Kai Forbath 41 yard field goal good,1.950,3.000
4,11:16,,,JAX 35,6,13,"Logan Cooke kicks off 61 yards, returned by Byron Marshall for no gain (tackle by Quenton Meeks). Penalty on C.J. Reavis: Illegal Formation, 5 yards",0.000,1.070
4,11:10,1,10,WAS 32,6,13,Adrian Peterson up the middle for -3 yards (tackle by Abry Jones),1.070,0.120
4,10:32,2,13,WAS 29,6,13,Josh Johnson pass complete short middle to Vernon Davis for 7 yards (tackle by Telvin Smith),0.120,0.370
4,9:51,3,6,WAS 36,6,13,Josh Johnson pass complete short middle to Vernon Davis for 9 yards (tackle by Tashaun Gipson),0.370,1.930
4,9:10,1,10,WAS 45,6,13,"Josh Johnson sacked by Nick DeLuca for -5 yards. Josh Johnson fumbles (forced by Nick DeLuca), recovered by Morgan Moses at WAS-40 (tackle by Yannick Ngakoue)",1.930,0.710
4,8:17,2,15,WAS 40,6,13,Josh Johnson pass incomplete short right intended for Maurice Harris,0.710,0.040
4,8:13,3,15,WAS 40,6,13,Josh Johnson pass complete deep middle to Jamison Crowder for 33 yards (tackle by Jalen Ramsey),0.040,3.780
4,7:35,1,10,JAX 27,6,13,Josh Johnson right end for 8 yards (tackle by Telvin Smith),3.780,4.350
4,7:09,2,2,JAX 19,6,13,Josh Johnson pass complete short right to Jeremy Sprinkle for 9 yards (tackle by Nick DeLuca),4.350,4.910
4,6:23,1,10,JAX 10,6,13,Adrian Peterson up the middle for 4 yards (tackle by D.J. Hayden),4.910,4.950
4,5:52,2,6,JAX 6,12,13,"Josh Johnson pass complete short right to Jeremy Sprinkle for 6 yards, touchdown",4.950,7.000
4,5:47,,,JAX 15,13,13,"Dustin Hopkins kicks extra point good Penalty on JAX: Illegal Formation, 5 yards",0.000,0.000
4,5:47,,,WAS 40,13,13,"Dustin Hopkins kicks off 60 yards, touchback.",0.000,0.610
4,5:47,1,10,JAX 25,13,13,Leonard Fournette up the middle for 25 yards (tackle by Ha Ha Clinton-Dix),0.610,2.260
4,5:03,1,10,JAX 50,13,13,Cody Kessler pass incomplete short middle intended for T.J. Yeldon,2.260,1.710
4,4:58,2,10,JAX 50,13,13,David Williams up the middle for 11 yards (tackle by Ha Ha Clinton-Dix),1.710,2.980
4,4:14,1,10,WAS 39,13,13,David Williams right end for 3 yards (tackle by Ryan Kerrigan and Mason Foster),2.980,2.850
4,3:30,2,7,WAS 36,13,13,T.J. Yeldon up the middle for 1 yard (tackle by Jonathan Allen),2.850,2.280
4,2:49,3,6,WAS 35,13,13,"Cody Kessler pass complete short middle to Dede Westbrook for 14 yards. Penalty on Donte Moncrief: Offensive Pass Interference, 10 yards (no play)",2.280,0.960
4,2:41,3,16,WAS 45,13,13,Cody Kessler pass deep right intended for Dede Westbrook is intercepted by Fabian Moreau at WAS-29 and returned for 16 yards,0.960,-1.930
4,2:31,1,10,WAS 45,13,13,Adrian Peterson up the middle for 4 yards (tackle by Telvin Smith),1.930,1.920
4,2:00,2,6,WAS 49,13,13,Josh Johnson pass complete short left to Adrian Peterson for 7 yards (tackle by A.J. Bouye and Abry Jones),1.920,2.650
4,1:24,1,10,JAX 44,13,13,Adrian Peterson left end for 15 yards (tackle by Telvin Smith),2.650,3.640
4,1:15,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,1:15,1,10,JAX 29,13,13,Adrian Peterson up the middle for 7 yards (tackle by Telvin Smith),3.640,4.050
4,1:10,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:10,2,3,JAX 22,13,13,Adrian Peterson up the middle for 1 yard (tackle by Calais Campbell and Myles Jack),4.050,3.470
4,1:10,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,1:05,3,2,JAX 21,13,13,Adrian Peterson up the middle for 4 yards (tackle by Taven Bryan),3.470,4.440
4,1:05,,,,,,Timeout #1 by Washington Redskins,,
4,0:22,1,10,JAX 17,13,13,Josh Johnson kneels for -2 yards,4.440,3.600
4,0:04,,,,,,Timeout #2 by Washington Redskins,,
4,0:04,2,12,JAX 19,16,13,Dustin Hopkins 36 yard field goal good,3.600,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
