Unnamed: 0,WAS,JAX
First Downs,16,11
Rush-Yds-TDs,33-109-0,26-172-0
Cmp-Att-Yd-TD-INT,16-25-151-1-0,9-17-57-0-1
Sacked-Yards,3-15,6-37
Net Pass Yards,136,20
Total Yards,245,192
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,6-48,8-55
Third Down Conv.,7-15,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,33:06,26:54
