Unnamed: 0,HOU,CHI
First Downs,13,8
Rush-Yds-TDs,35-127-0,23-115-0
Cmp-Att-Yd-TD-INT,14-26-95-1-2,18-33-134-0-2
Sacked-Yards,1-7,0-0
Net Pass Yards,88,134
Total Yards,215,249
Fumbles-Lost,0-0,2-2
Turnovers,2,4
Penalties-Yards,3-35,5-49
Third Down Conv.,3-14,2-13
Fourth Down Conv.,0-0,0-2
Time of Possession,31:08,28:52
