Quarter,Time,Down,ToGo,Location,HOU,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 67 yards, returned by Keshawn Martin for 20 yards (tackle by Zackary Bowman)",0.000,0.040
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
1,14:53,1,10,HOU 18,0,0,Matt Schaub pass complete short right to Garrett Graham for 1 yard (tackle by Nick Roach),0.040,-0.320
1,14:15,2,9,HOU 19,0,0,Matt Schaub pass incomplete deep right intended for Andre Johnson (defended by Charles Tillman),-0.320,-1.040
1,14:08,3,9,HOU 19,0,0,Arian Foster right guard for 4 yards (tackle by Henry Melton and Israel Idonije),-1.040,-1.830
1,13:40,4,5,HOU 23,0,0,"Donnie Jones punts 56 yards, returned by Devin Hester for 24 yards (tackle by Quintin Demps)",-1.830,-1.930
1,13:26,1,10,CHI 45,0,0,"Jay Cutler pass complete short middle to Kellen Davis for 6 yards (tackle by Danieal Manning). Kellen Davis fumbles (forced by Danieal Manning), recovered by Tim Dobbins at HOU-40 and returned for 32 yards (tackle by Kellen Davis). Penalty on HOU: Unsportsmanlike Conduct, 15 yards",1.930,-2.720
1,13:10,1,10,CHI 43,0,0,Matt Schaub pass complete short left to Andre Johnson for 11 yards (tackle by Charles Tillman),2.720,3.450
1,12:28,1,10,CHI 32,0,0,Matt Schaub pass incomplete short middle intended for Andre Johnson,3.450,2.900
1,12:23,2,10,CHI 32,0,0,Arian Foster left end for 3 yards (tackle by Julius Peppers),2.900,2.610
1,11:48,3,7,CHI 29,0,0,Matt Schaub pass complete short left to Andre Johnson for 8 yards (tackle by Charles Tillman),2.610,4.170
1,11:16,1,10,CHI 21,0,0,Arian Foster right tackle for 1 yard (tackle by Major Wright),4.170,3.760
1,10:36,2,9,CHI 20,0,0,Arian Foster right end for 13 yards (tackle by Major Wright),3.760,5.600
1,9:59,1,7,CHI 7,0,0,Arian Foster right end for 1 yard (tackle by Major Wright),5.600,4.950
1,9:18,2,6,CHI 6,0,0,Arian Foster right end for 1 yard (tackle by Stephen Paea and Israel Idonije),4.950,4.260
1,8:40,3,5,CHI 5,0,0,Matt Schaub pass complete short left to Arian Foster for 3 yards (tackle by Charles Tillman),4.260,3.250
1,8:16,4,2,CHI 2,3,0,Shayne Graham 20 yard field goal good,3.250,3.000
1,8:13,,,HOU 35,3,0,"Shayne Graham kicks off 43 yards, returned by Kyle Adams for 15 yards (tackle by Tim Dobbins)",0.000,1.400
1,8:09,1,10,CHI 37,3,0,Matt Forte left guard for 2 yards (tackle by Bradie James),1.400,1.130
1,7:27,2,8,CHI 39,3,0,Jay Cutler pass complete short right to Earl Bennett for 9 yards (tackle by Kareem Jackson),1.130,2.130
1,6:44,1,10,CHI 48,3,0,Matt Forte left tackle for 2 yards (tackle by Connor Barwin),2.130,1.850
1,6:03,2,8,,3,0,Jay Cutler right guard for 7 yards (tackle by Brooks Reed),1.850,2.080
1,5:20,3,1,HOU 43,3,0,Jay Cutler pass complete short right to Devin Hester for no gain,2.080,0.400
1,4:49,4,1,HOU 43,3,0,"Michael Bush right guard for 11 yards (tackle by Glover Quin). Michael Bush fumbles (forced by Glover Quin), recovered by Bradie James at HOU-27 (tackle by Matt Spaeth)",0.400,-0.740
1,4:40,1,10,HOU 27,3,0,Matt Schaub pass incomplete,0.740,0.200
1,4:34,2,10,HOU 27,3,0,Matt Schaub pass complete short left to Andre Johnson for 5 yards (tackle by Brian Urlacher),0.200,0.170
1,3:52,3,5,HOU 32,3,0,Matt Schaub pass complete short middle to Arian Foster for 8 yards (tackle by Kelvin Hayden),0.170,1.600
1,3:12,1,10,HOU 40,3,0,Matt Schaub pass incomplete short middle intended for James Casey,1.600,1.050
1,3:06,2,10,HOU 40,3,0,Arian Foster left end for no gain (tackle by Brian Urlacher),1.050,0.370
1,2:24,3,10,HOU 40,3,0,Matt Schaub pass incomplete short right intended for Keshawn Martin is intercepted by Tim Jennings at HOU-45,0.370,-2.590
1,2:24,1,10,HOU 45,3,0,Jay Cutler pass complete short right to Brandon Marshall for 14 yards (tackle by Johnathan Joseph),2.590,3.510
1,1:39,1,10,HOU 31,3,0,Matt Forte right tackle for 1 yard (tackle by Tim Dobbins),3.510,3.100
1,0:57,2,9,HOU 30,3,0,Jay Cutler pass incomplete deep right intended for Kellen Davis is intercepted by Danieal Manning at HOU-6 and returned for 4 yards (tackle by Brandon Marshall),3.100,0.380
