Quarter,Time,Tm,Detail,HOU,CHI
1.0,8:13,Texans,Shayne Graham 20 yard field goal,3,0
2.0,12:52,Bears,Robbie Gould 51 yard field goal,3,3
,4:14,Texans,Arian Foster 2 yard pass from Matt Schaub (Shayne Graham kick),10,3
3.0,1:55,Bears,Robbie Gould 24 yard field goal,10,6
4.0,4:49,Texans,Shayne Graham 42 yard field goal,13,6
