Unnamed: 0,DET,PHI
First Downs,11,23
Rush-Yds-TDs,33-80-1,46-299-4
Cmp-Att-Yd-TD-INT,10-25-151-0-0,11-22-179-1-1
Sacked-Yards,0-0,0-0
Net Pass Yards,151,179
Total Yards,231,478
Fumbles-Lost,7-3,1-0
Turnovers,3,1
Penalties-Yards,9-48,1-5
Third Down Conv.,5-15,3-12
Fourth Down Conv.,1-2,2-3
Time of Possession,28:33,31:27
