Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,CAR 20,0,0,Cam Newton pass incomplete short left intended for Steve Smith,0.280,-0.270
1,14:55,2,10,CAR 20,0,0,Cam Newton pass complete short left to Brandon LaFell for 4 yards (tackle by Jonathan Vilma),-0.270,-0.430
1,14:21,3,6,CAR 24,0,0,Cam Newton pass incomplete short right intended for Louis Murphy,-0.430,-1.770
1,14:17,4,6,CAR 24,0,0,"Brad Nortman punts 47 yards, returned by Darren Sproles for -1 yards (tackle by Doug Hogue). Penalty on Armond Smith: Player Out of Bounds on Punt, 5 yards",-1.770,-1.140
1,14:04,1,10,NOR 33,0,0,Drew Brees pass complete short left to Marques Colston for 18 yards (tackle by Charles Godfrey). Penalty on Captain Munnerlyn: Illegal Contact (Declined),1.140,2.320
1,13:40,1,10,CAR 49,0,0,Mark Ingram left end for 1 yard (tackle by Dwan Edwards and Luke Kuechly),2.320,1.920
1,13:04,2,9,CAR 48,0,0,Drew Brees pass incomplete deep right intended for Jimmy Graham (defended by Captain Munnerlyn),1.920,1.220
1,12:59,3,9,CAR 48,0,0,Drew Brees pass incomplete short right intended for Jimmy Graham,1.220,0.070
1,12:55,4,9,CAR 48,0,0,"Thomas Morstead punts 26 yards, out of bounds",0.070,-0.410
1,12:47,1,10,CAR 22,0,0,DeAngelo Williams left tackle for -1 yards (tackle by Curtis Lofton and Jonathan Vilma),0.410,-0.270
1,12:09,2,11,CAR 21,0,0,Cam Newton pass complete short right to Greg Olsen for 11 yards (tackle by Isa Abdul-Quddus),-0.270,1.070
1,11:26,1,10,CAR 32,0,0,Cam Newton right end for 3 yards (tackle by Cameron Jordan),1.070,0.930
1,10:53,2,7,CAR 35,0,0,Mike Tolbert left guard for 5 yards (tackle by Sedrick Ellis),0.930,0.890
1,10:09,3,2,CAR 40,0,0,Cam Newton left guard for 16 yards (tackle by Elbert Mack),0.890,2.650
1,9:28,1,10,NOR 44,0,0,DeAngelo Williams right tackle for 4 yards (tackle by Patrick Robinson),2.650,2.650
