Quarter,Time,Tm,Detail,CAR,NOR
1.0,5:41,Panthers,Graham Gano 20 yard field goal,3,0
2.0,8:18,Panthers,Mike Tolbert 1 yard rush (Graham Gano kick),10,0
,5:14,Saints,Marques Colston 7 yard pass from Drew Brees (Garrett Hartley kick),10,7
,4:31,Saints,Jonathan Vilma 18 yard interception return (Garrett Hartley kick),10,14
,0:39,Panthers,Graham Gano 31 yard field goal,13,14
,0:00,Saints,Garrett Hartley 53 yard field goal,13,17
3.0,10:45,Saints,Jimmy Graham 19 yard pass from Drew Brees (Garrett Hartley kick),13,24
,8:48,Panthers,DeAngelo Williams 54 yard rush (Graham Gano kick),20,24
,2:29,Panthers,Mike Tolbert 1 yard rush (Graham Gano kick),27,24
4.0,10:16,Panthers,Mike Tolbert 1 yard rush (Graham Gano kick),34,24
,8:23,Panthers,DeAngelo Williams 12 yard rush (Graham Gano kick),41,24
,5:10,Saints,Marques Colston 9 yard pass from Drew Brees (Garrett Hartley kick),41,31
,4:08,Panthers,Graham Gano 42 yard field goal,44,31
,2:52,Saints,Darren Sproles 33 yard pass from Drew Brees (Garrett Hartley kick),44,38
