Unnamed: 0,CAR,NOR
First Downs,28,22
Rush-Yds-TDs,39-273-5,18-63-0
Cmp-Att-Yd-TD-INT,17-34-260-0-1,29-43-396-4-1
Sacked-Yards,1-3,2-18
Net Pass Yards,257,378
Total Yards,530,441
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,4-36,5-55
Third Down Conv.,10-16,4-12
Fourth Down Conv.,0-0,2-2
Time of Possession,33:55,26:05
