Quarter,Time,Tm,Detail,LAC,CLE
1.0,12:01,Browns,Nick Chubb 41 yard rush (Cade York kick),0,7
,4:01,Browns,Amari Cooper 11 yard pass from Jacoby Brissett (Cade York kick),0,14
,2:26,Chargers,Taylor Bertolet 28 yard field goal,3,14
2.0,13:39,Chargers,Joshua Kelley 5 yard rush (Taylor Bertolet kick),10,14
,5:51,Chargers,Austin Ekeler 12 yard pass from Justin Herbert (Taylor Bertolet kick),17,14
,2:55,Browns,Nick Chubb 2 yard rush (Cade York kick),17,21
3.0,10:21,Chargers,Austin Ekeler 22 yard rush (Taylor Bertolet kick),24,21
,5:47,Chargers,Taylor Bertolet 25 yard field goal,27,21
,0:55,Browns,Kareem Hunt 2 yard rush (Cade York kick),27,28
4.0,9:29,Chargers,Taylor Bertolet 27 yard field goal,30,28
