Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Taylor Bertolet kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CLE 25,0,0,Nick Chubb right guard for 1 yard (tackle by Austin Johnson and Drue Tranquill),0.610,0.200
1,14:21,2,9,CLE 26,0,0,Jacoby Brissett pass complete short right to Amari Cooper for 10 yards (tackle by J.C. Jackson),0.200,1.330
1,13:34,1,10,CLE 36,0,0,Nick Chubb right tackle for 14 yards (tackle by Derwin James and Alohi Gilman),1.330,2.260
1,13:00,1,10,CLE 50,0,0,Jacoby Brissett scrambles up the middle for 9 yards (tackle by J.C. Jackson),2.260,2.930
1,12:12,2,1,LAC 41,0,6,"Nick Chubb right tackle for 41 yards, touchdown",2.930,7.000
1,12:01,,,LAC 15,0,7,Cade York kicks extra point good,0.000,0.000
1,12:01,,,CLE 35,0,7,"Cade York kicks off 65 yards, returned by DeAndre Carter for 17 yards (tackle by D'Anthony Bell and Ronnie Harrison)",0.000,-0.060
1,11:57,1,10,LAC 17,0,7,Justin Herbert pass complete short left to Austin Ekeler for 10 yards (tackle by Jeremiah Owusu-Koramoah),-0.060,0.810
1,11:27,1,10,LAC 28,0,7,Justin Herbert pass incomplete short right,0.810,0.260
1,11:27,2,10,LAC 28,0,7,Austin Ekeler right guard for 8 yards (tackle by Jacob Phillips),0.260,0.560
1,10:50,3,2,LAC 35,0,7,Justin Herbert scrambles left guard for 1 yard (tackle by Grant Delpit),0.560,-0.980
1,10:50,4,1,LAC 36,0,7,"Penalty on Grant Delpit: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.980,2.320
1,10:26,1,10,CLE 49,0,7,Joshua Kelley right guard for 1 yard (tackle by Jacob Phillips and Perrion Winfrey),2.320,1.920
1,9:54,2,9,CLE 48,0,7,Justin Herbert pass complete short right to Mike Williams for 12 yards (tackle by Denzel Ward),1.920,3.180
1,9:23,1,10,CLE 36,0,7,Justin Herbert pass incomplete short right intended for Tre' McKitty (defended by Perrion Winfrey),3.180,2.640
1,9:19,2,10,CLE 36,0,7,Justin Herbert pass complete short left to Josh Palmer for 8 yards (tackle by John Johnson),2.640,3.010
1,9:00,3,2,CLE 28,0,7,Justin Herbert pass incomplete short right intended for Josh Palmer,3.010,1.700
1,8:56,4,2,CLE 28,0,7,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Denzel Ward),1.700,-0.810
1,8:52,1,10,CLE 28,0,7,Jacoby Brissett pass complete deep left to Amari Cooper for 20 yards (tackle by Asante Samuel),0.810,2.130
1,8:16,1,10,CLE 48,0,7,Kareem Hunt right tackle for 2 yards (tackle by Morgan Fox),2.130,1.850
1,7:36,2,8,LAC 50,0,7,Kareem Hunt right guard for 17 yards (tackle by Alohi Gilman),1.850,3.380
1,6:54,1,10,LAC 33,0,7,Kareem Hunt left guard for 4 yards (tackle by Christian Covington),3.380,3.240
1,6:40,2,7,LAC 30,0,7,"Penalty on Kenneth Murray: Unsportsmanlike Conduct / Defense, 15 yards (offset) Penalty on Jedrick Wills: Unsportsmanlike Conduct / Offense, 15 yards (offset) (no play)",3.240,3.380
1,6:30,2,6,LAC 29,0,7,Jacoby Brissett pass complete short right to Amari Cooper for 6 yards (tackle by Asante Samuel),3.380,4.040
1,5:54,1,10,LAC 23,0,7,Kareem Hunt left tackle for 3 yards (tackle by Derwin James and Sebastian Joseph-Day),4.040,3.900
1,5:12,2,7,LAC 20,0,7,Jacoby Brissett pass complete short left to Kareem Hunt for 6 yards (tackle by Chris Rumph),3.900,4.050
1,4:46,3,2,LAC 15,0,7,Jacoby Brissett up the middle for 3 yards (tackle by Austin Johnson),4.050,4.840
1,4:06,1,10,LAC 11,0,13,"Jacoby Brissett pass complete short left to Amari Cooper for 11 yards, touchdown",4.840,7.000
1,4:01,,,LAC 15,0,14,Cade York kicks extra point good,0.000,0.000
1,4:01,,,CLE 35,0,14,"Cade York kicks off 65 yards, touchback.",0.000,0.610
1,4:01,1,10,LAC 25,0,14,Austin Ekeler right guard for 71 yards (tackle by Greg Newsome),0.610,6.280
1,3:12,1,4,CLE 4,0,14,Sony Michel right guard for no gain (tackle by Jadeveon Clowney and Jeremiah Owusu-Koramoah),6.280,5.340
1,2:38,2,4,CLE 4,0,14,Justin Herbert pass incomplete short right intended for Tre' McKitty,5.340,4.490
1,2:34,3,4,CLE 4,0,14,"Penalty on Jamaree Salyer: False Start, 5 yards (accepted) (no play)",4.490,3.360
1,2:34,3,9,CLE 9,0,14,Justin Herbert pass incomplete short left intended for Donald Parham,3.360,2.830
1,2:30,4,9,CLE 9,3,14,Taylor Bertolet 28 yard field goal good,2.830,3.000
1,2:26,,,LAC 35,3,14,"Taylor Bertolet kicks off 59 yards, returned by Chester Rogers for 19 yards (tackle by Deane Leonard)",0.000,0.610
1,2:21,1,10,CLE 25,3,14,Nick Chubb right tackle for 3 yards (tackle by Austin Johnson),0.610,0.470
1,1:42,2,7,CLE 28,3,14,Jacoby Brissett pass incomplete deep right intended for Nick Chubb,0.470,-0.230
1,1:37,,,,,,Timeout #1 by Cleveland Browns,,
1,1:37,3,7,CLE 28,3,14,Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 1 yard (tackle by Derwin James),-0.230,-1.440
1,0:52,4,6,CLE 29,3,14,"Corey Bojorquez punts 58 yards, returned by DeAndre Carter for 12 yards (tackle by Dakota Allen)",-1.440,-0.610
1,0:41,1,10,LAC 25,3,14,"Austin Ekeler right guard for 4 yards (tackle by Alex Wright). Penalty on Isaiah Thomas: Face Mask (15 Yards), 15 yards (accepted)",0.610,1.860
1,0:17,1,10,LAC 44,3,14,Justin Herbert pass complete deep right to Mike Williams for 38 yards (tackle by Denzel Ward),1.860,4.370
Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 18,3,14,Joshua Kelley right tackle for 3 yards (tackle by Jadeveon Clowney and Grant Delpit),4.370,4.250
2,14:24,2,7,CLE 15,3,14,Justin Herbert pass complete short right to Mike Williams for 10 yards (tackle by Denzel Ward),4.250,6.060
2,13:43,1,5,CLE 5,9,14,"Joshua Kelley right tackle for 5 yards, touchdown",6.060,7.000
2,13:39,,,CLE 15,10,14,Taylor Bertolet kicks extra point good,0.000,0.000
2,13:39,,,LAC 35,10,14,"Taylor Bertolet kicks off 61 yards, returned by Chester Rogers for 28 yards (tackle by Michael Davis)",0.000,1.070
