Unnamed: 0,LAC,CLE
First Downs,26,27
Rush-Yds-TDs,34-238-2,31-213-3
Cmp-Att-Yd-TD-INT,22-34-228-1-0,21-34-230-1-1
Sacked-Yards,1-1,0-0
Net Pass Yards,227,230
Total Yards,465,443
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,4-17,6-65
Third Down Conv.,3-10,4-10
Fourth Down Conv.,0-2,0-1
Time of Possession,29:58,30:02
