Quarter,Time,Tm,Detail,SEA,ATL
1.0,9:40,Falcons,Matt Bryant 39 yard field goal,0,3
,3:10,Falcons,Tony Gonzalez 1 yard pass from Matt Ryan (Matt Bryant kick),0,10
2.0,9:13,Falcons,Matt Bryant 37 yard field goal,0,13
,4:16,Falcons,Roddy White 47 yard pass from Matt Ryan (Matt Bryant kick),0,20
3.0,9:47,Seahawks,Golden Tate 29 yard pass from Russell Wilson (Ryan Longwell kick),7,20
,2:11,Falcons,Jason Snelling 5 yard pass from Matt Ryan (Matt Bryant kick),7,27
4.0,13:01,Seahawks,Russell Wilson 1 yard rush (Ryan Longwell kick),14,27
,9:13,Seahawks,Zach Miller 3 yard pass from Russell Wilson (Ryan Longwell kick),21,27
,0:31,Seahawks,Marshawn Lynch 2 yard rush (Ryan Longwell kick),28,27
,0:08,Falcons,Matt Bryant 49 yard field goal,28,30
