Unnamed: 0,SEA,ATL
First Downs,28,24
Rush-Yds-TDs,28-123-2,26-167-0
Cmp-Att-Yd-TD-INT,24-36-385-2-1,24-35-250-3-2
Sacked-Yards,2-17,0-0
Net Pass Yards,368,250
Total Yards,491,417
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,6-35,3-11
Third Down Conv.,3-8,6-11
Fourth Down Conv.,0-1,0-0
Time of Possession,28:47,31:13
