Quarter,Time,Tm,Detail,GNB,ARI
1,11:04,Cardinals,Tim Hightower 1 yard rush (Neil Rackers kick),0,7
,9:16,Cardinals,Early Doucet 15 yard pass from Kurt Warner (Neil Rackers kick),0,14
,0:34,Cardinals,Neil Rackers 23 yard field goal,0,17
2,6:52,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),7,17
,2:16,Cardinals,Early Doucet 15 yard pass from Kurt Warner (Neil Rackers kick),7,24
,0:00,Packers,Mason Crosby 20 yard field goal,10,24
3,11:15,Cardinals,Larry Fitzgerald 33 yard pass from Kurt Warner (Neil Rackers kick),10,31
,7:20,Packers,Greg Jennings 6 yard pass from Aaron Rodgers (Mason Crosby kick),17,31
,4:07,Packers,Jordy Nelson 11 yard pass from Aaron Rodgers (Mason Crosby kick),24,31
,2:34,Cardinals,Larry Fitzgerald 11 yard pass from Kurt Warner (Neil Rackers kick),24,38
4,14:08,Packers,James Jones 30 yard pass from Aaron Rodgers (Mason Crosby kick),31,38
,10:57,Packers,John Kuhn 1 yard rush (Mason Crosby kick),38,38
,4:55,Cardinals,Steve Breaston 17 yard pass from Kurt Warner (Neil Rackers kick),38,45
,1:52,Packers,Spencer Havner 11 yard pass from Aaron Rodgers (Mason Crosby kick),45,45
OT,13:42,Cardinals,Karlos Dansby 17 yard defensive fumble return,45,51
