Unnamed: 0,GNB,ARI
First Downs,32,30
Rush-Yds-TDs,20-89-2,23-156-1
Cmp-Att-Yd-TD-INT,28-42-423-4-1,29-33-379-5-0
Sacked-Yards,5-19,1-4
Net Pass Yards,404,375
Total Yards,493,531
Fumbles-Lost,3-2,3-1
Turnovers,3,1
Penalties-Yards,8-76,9-56
Third Down Conv.,5-11,3-5
Fourth Down Conv.,2-2,0-0
Time of Possession,29:51,31:27
