Quarter,Time,Tm,Detail,CHI,MIN
1.0,8:53,Vikings,Ryan Longwell 26 yard field goal,0,3
,3:42,Vikings,Percy Harvin 5 yard rush (Ryan Longwell kick),0,10
2.0,14:19,Bears,Roy Williams 22 yard pass from Josh McCown (Robbie Gould kick),7,10
,13:37,Bears,Charles Tillman 22 yard interception return (Robbie Gould kick),14,10
,0:55,Vikings,Ryan Longwell 26 yard field goal,14,13
4.0,10:19,Bears,Robbie Gould 27 yard field goal,17,13
