Unnamed: 0,CHI,MIN
First Downs,10,16
Rush-Yds-TDs,25-92-0,27-79-1
Cmp-Att-Yd-TD-INT,15-25-160-1-1,21-42-228-0-3
Sacked-Yards,7-43,2-6
Net Pass Yards,117,222
Total Yards,209,301
Fumbles-Lost,4-2,1-0
Turnovers,3,3
Penalties-Yards,4-20,5-38
Third Down Conv.,5-13,3-15
Fourth Down Conv.,0-0,1-2
Time of Possession,28:46,31:14
