Quarter,Time,Tm,Detail,DAL,SEA
1.0,11:43,Seahawks,Stephen Hauschka 21 yard field goal,0,3
,10:23,Seahawks,Jeron Johnson 3 yard blocked punt return (Stephen Hauschka kick),0,10
2.0,12:09,Cowboys,Miles Austin 22 yard pass from Tony Romo (Dan Bailey kick),7,10
,1:57,Seahawks,Stephen Hauschka 25 yard field goal,7,13
3.0,5:05,Seahawks,Anthony McCoy 22 yard pass from Russell Wilson (Stephen Hauschka kick),7,20
4.0,7:57,Seahawks,Marshawn Lynch 3 yard rush (Stephen Hauschka kick),7,27
