Unnamed: 0,DAL,SEA
First Downs,17,20
Rush-Yds-TDs,16-49-0,41-182-1
Cmp-Att-Yd-TD-INT,23-40-251-1-1,15-20-151-1-0
Sacked-Yards,1-4,2-18
Net Pass Yards,247,133
Total Yards,296,315
Fumbles-Lost,4-1,0-0
Turnovers,2,0
Penalties-Yards,5-47,5-35
Third Down Conv.,7-13,5-14
Fourth Down Conv.,0-0,1-2
Time of Possession,25:21,34:39
