Quarter,Time,Tm,Detail,BUF,WAS
1.0,7:12,Redskins,Shaun Suisham 27 yard field goal,0,3
2.0,14:37,Redskins,Shaun Suisham 28 yard field goal,0,6
,8:19,Bills,"Safety,",2,6
,0:25,Redskins,Shaun Suisham 33 yard field goal,2,9
3.0,11:21,Bills,Rian Lindell 38 yard field goal,5,9
,5:42,Redskins,Clinton Portis 3 yard rush (Shaun Suisham kick),5,16
,1:09,Bills,Rian Lindell 43 yard field goal,8,16
4.0,11:14,Bills,Rian Lindell 24 yard field goal,11,16
,6:33,Bills,Rian Lindell 33 yard field goal,14,16
,0:04,Bills,Rian Lindell 36 yard field goal,17,16
