Quarter,Time,Down,ToGo,Location,BUF,WAS,Detail,EPB,EPA
1,3:46,1,10,WAS 30,0,3,"Clinton Portis right end for 1 yard (tackle by Donte Whitner and Anthony Hargrove). Penalty on Copeland Bryan: Unnecessary Roughness, 15 yards",0.940,1.990
1,3:14,1,10,WAS 46,0,3,Jason Campbell pass complete short right to Santana Moss for 11 yards (tackle by John DiGiorgio),1.990,2.720
1,2:36,1,10,BUF 43,0,3,Clinton Portis up the middle for 3 yards (tackle by Ryan Denney and Angelo Crowell),2.720,2.580
1,2:01,2,7,BUF 40,0,3,Jason Campbell pass incomplete short left intended for Reche Caldwell,2.580,1.880
1,1:57,3,7,BUF 40,0,3,Jason Campbell pass complete short middle to Chris Cooley for 8 yards (tackle by Donte Whitner),1.880,3.450
1,1:10,1,10,BUF 32,0,3,Jason Campbell pass complete deep middle to Chris Cooley for 29 yards (tackle by Bryan Scott),3.450,6.510
1,0:22,1,3,BUF 3,0,3,Jason Campbell pass incomplete short middle intended for Chris Cooley (defended by Josh Stamer),6.510,5.530
1,0:17,2,3,BUF 3,0,3,Jason Campbell sacked by Mario Haggan for -2 yards,5.530,4.260
Quarter,Time,Down,ToGo,Location,BUF,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,BUF 5,0,3,Jason Campbell sacked by Aaron Schobel for -5 yards,4.260,2.760
2,14:53,4,10,BUF 10,0,6,Shaun Suisham 28 yard field goal good,2.760,3.000
2,,,,WAS 30,0,6,"Shaun Suisham kicks off 55 yards, returned by Terrence McGee for 19 yards (tackle by Anthony Mix). Penalty on Duke Preston: Offensive Holding, 10 yards",0.000,0.040
2,14:29,1,10,BUF 18,0,6,Fred Jackson left end for no gain (tackle by Fred Smoot and Reed Doughty),0.040,-0.490
2,13:52,2,10,BUF 18,0,6,Fred Jackson up the middle for 6 yards (tackle by Marcus Washington and Phillip Daniels),-0.490,-0.400
2,13:13,3,4,BUF 24,0,6,Trent Edwards pass complete short middle to Roscoe Parrish for 9 yards (tackle by Fred Smoot),-0.400,1.140
2,12:39,1,10,BUF 33,0,6,Trent Edwards pass incomplete short right intended for Brad Butler (defended by Phillip Daniels),1.140,0.590
2,12:33,2,10,BUF 33,0,6,Fred Jackson left end for 4 yards (tackle by Rocky McIntosh and Phillip Daniels),0.590,0.430
2,11:52,3,6,BUF 37,0,6,Trent Edwards pass complete short middle to Josh Reed for 16 yards (tackle by Fred Smoot),0.430,2.460
2,11:15,1,10,WAS 47,0,6,Fred Jackson up the middle for 2 yards (tackle by London Fletcher),2.460,2.180
2,10:34,2,8,WAS 45,0,6,Trent Edwards pass incomplete short middle intended for Roscoe Parrish (defended by Anthony Montgomery),2.180,1.490
2,10:29,3,8,WAS 45,0,6,Trent Edwards pass complete short middle to Lee Evans for 5 yards (tackle by Fred Smoot),1.490,0.590
2,9:53,4,3,WAS 40,0,6,"Brian Moorman punts 32 yards, fair catch by Keenan McCardell",0.590,0.380
2,9:47,1,10,WAS 8,0,6,Clinton Portis left tackle for 1 yard (tackle by John McCargo and Bryan Scott),-0.380,-0.710
2,9:06,2,9,WAS 9,0,6,Clinton Portis left end for -2 yards (tackle by Larry Tripplett),-0.710,-1.540
2,8:24,3,11,WAS 7,2,6,"Jason Campbell sacked by Angelo Crowell for -7 yards, safety",-1.540,-2.000
2,,,,WAS 20,2,6,"Derrick Frost kicks off 59 yards, returned by Roscoe Parrish for 18 yards (tackle by Vernon Fox). Penalty on Dustin Fox: Offensive Holding, 10 yards",0.000,0.670
2,8:12,1,10,BUF 26,2,6,Trent Edwards pass complete short left to Robert Royal for 3 yards (tackle by Fred Smoot),0.670,0.540
2,7:38,2,7,BUF 29,2,6,Trent Edwards pass complete short middle to Michael Gaines for 13 yards (tackle by Reed Doughty),0.540,1.730
2,7:03,1,10,BUF 42,2,6,Trent Edwards pass complete short middle to Fred Jackson for 6 yards (tackle by Anthony Montgomery),1.730,2.000
2,6:23,2,4,BUF 48,2,6,Fred Jackson right tackle for 10 yards (tackle by Leigh Torrence and Rocky McIntosh),2.000,2.790
2,5:58,1,10,WAS 42,2,6,Trent Edwards pass complete short right to Roscoe Parrish for 5 yards (tackle by Leigh Torrence),2.790,2.920
2,5:14,2,5,WAS 37,2,6,Dwayne Wright left guard for 15 yards (tackle by Leigh Torrence and LaRon Landry),2.920,4.110
2,4:29,1,10,WAS 22,2,6,"Penalty on Derrick Dockery: False Start, 5 yards (no play)",4.110,3.780
2,4:11,1,15,WAS 27,2,6,Trent Edwards pass incomplete short right intended for Robert Royal,3.780,2.890
2,4:06,2,15,WAS 27,2,6,"Trent Edwards pass complete short middle to Robert Royal for -2 yards. Robert Royal fumbles, recovered by Phillip Daniels at WAS-29 (tackle by Robert Royal)",2.890,-0.870
2,3:57,1,10,WAS 29,2,6,Jason Campbell pass complete short left to Ladell Betts for 9 yards (tackle by Keith Ellison),0.870,1.540
2,3:29,2,1,WAS 38,2,6,Clinton Portis up the middle for 2 yards (tackle by Kyle Williams),1.540,1.600
2,2:50,1,10,WAS 40,2,6,Santana Moss left end for 11 yards (tackle by Keith Ellison and John DiGiorgio),1.600,2.320
2,2:12,1,10,BUF 49,2,6,Jason Campbell pass incomplete deep right intended for Chris Cooley,2.320,1.780
2,2:04,2,10,BUF 49,2,6,Jason Campbell pass complete short middle to Chris Cooley for 9 yards (tackle by Keith Ellison),1.780,2.280
2,1:58,3,1,BUF 40,2,6,Clinton Portis left tackle for 3 yards (tackle by Terrence McGee),2.280,3.120
2,1:26,1,10,BUF 37,2,6,Jason Campbell pass complete short middle to Chris Cooley for 11 yards (tackle by Jabari Greer),3.120,3.840
2,0:55,1,10,BUF 26,2,6,Jason Campbell pass incomplete deep right intended for Santana Moss,3.840,3.300
2,0:50,2,10,BUF 26,2,6,Jason Campbell pass complete short left to Chris Cooley for 11 yards (tackle by Keith Ellison),3.300,4.580
2,0:43,1,10,BUF 15,2,6,Jason Campbell pass incomplete short middle intended for Santana Moss,4.580,3.950
2,0:38,2,10,BUF 15,2,6,Jason Campbell pass incomplete short middle intended for Chris Cooley,3.950,3.100
2,0:34,,,,2,6,Timeout #1 by Washington Redskins,0.000,3.100
2,0:34,3,10,BUF 15,2,6,Jason Campbell pass incomplete short middle intended for Chris Cooley,3.100,2.440
2,0:29,4,10,BUF 15,2,9,Shaun Suisham 33 yard field goal good,2.440,3.000
2,,,,WAS 30,2,9,"Derrick Frost kicks off 50 yards, returned by Terrence McGee for 9 yards (tackle by Khary Campbell)",0.000,0.870
2,0:16,1,10,BUF 29,2,9,Fred Jackson left guard for 9 yards (tackle by Demetric Evans and Marcus Washington),0.870,1.540
2,0:05,,,,2,9,Timeout #1 by Buffalo Bills,0.000,1.540
2,0:05,2,1,BUF 38,2,9,Fred Jackson up the middle for 5 yards (tackle by Rocky McIntosh and London Fletcher),1.540,1.800
Quarter,Time,Down,ToGo,Location,BUF,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,2,9,"Shaun Suisham kicks off 55 yards, returned by Terrence McGee for 16 yards (tackle by H.B. Blades)",0.000,1.000
3,14:56,1,10,BUF 31,2,9,Trent Edwards pass complete short left to Lee Evans for 13 yards (tackle by LaRon Landry),1.000,1.860
3,14:36,1,10,BUF 44,2,9,Fred Jackson up the middle for 3 yards (tackle by Andre Carter and Reed Doughty),1.860,1.720
3,14:02,2,7,BUF 47,2,9,Trent Edwards pass incomplete short middle intended for Lee Evans,1.720,1.030
3,13:57,3,7,BUF 47,2,9,Trent Edwards pass complete deep left to Lee Evans for 29 yards (tackle by Fred Smoot),1.030,3.970
3,13:27,1,10,WAS 24,2,9,"Fred Jackson right guard for no gain (tackle by Rocky McIntosh and Anthony Montgomery). Penalty on Robert Royal: Offensive Holding, 10 yards (no play)",3.970,3.310
3,12:59,1,20,WAS 34,2,9,Trent Edwards pass incomplete deep left intended for Roscoe Parrish,3.310,2.080
3,12:54,2,20,WAS 34,2,9,Trent Edwards pass complete short left to Robert Royal for 2 yards (tackle by Fred Smoot),2.080,1.690
3,12:09,3,18,WAS 32,2,9,Trent Edwards pass complete short middle to Roscoe Parrish for 12 yards (tackle by LaRon Landry),1.690,2.150
3,11:25,4,6,WAS 20,5,9,Rian Lindell 38 yard field goal good,2.150,3.000
3,,,,BUF 30,5,9,"Rian Lindell kicks off 65 yards, returned by Rock Cartwright for 38 yards (tackle by Ashton Youboty)",0.000,1.800
3,11:13,1,10,WAS 43,5,9,Jason Campbell pass complete deep right to Reche Caldwell for 15 yards (tackle by Terrence McGee),1.800,2.790
3,10:33,1,10,BUF 42,5,9,Clinton Portis right end for 5 yards (tackle by John DiGiorgio),2.790,2.920
3,9:56,2,5,BUF 37,5,9,Clinton Portis up the middle for 2 yards (tackle by Donte Whitner and Ryan Denney),2.920,2.480
3,9:15,3,3,BUF 35,5,9,Jason Campbell pass complete short left to Santana Moss for 6 yards (tackle by Donte Whitner),2.480,3.640
3,8:36,1,10,BUF 29,5,9,Clinton Portis left end for -1 yards (tackle by John DiGiorgio),3.640,2.970
3,7:55,2,11,BUF 30,5,9,Jason Campbell pass complete short left to Keenan McCardell for 11 yards (tackle by Terrence McGee),2.970,4.310
3,7:17,1,10,BUF 19,5,9,Jason Campbell pass incomplete short middle intended for Santana Moss (defended by Keith Ellison),4.310,3.750
3,7:13,2,10,BUF 19,5,9,Jason Campbell pass complete short right to Keenan McCardell for 3 yards (tackle by Terrence McGee),3.750,3.410
3,6:31,3,7,BUF 16,5,9,Jason Campbell pass complete short left to Chris Cooley for 13 yards (tackle by Jim Leonhard),3.410,6.510
3,5:47,1,3,BUF 3,5,15,"Clinton Portis left tackle for 3 yards, touchdown",6.510,7.000
3,,,,BUF 2,5,16,Shaun Suisham kicks extra point good,0.000,0.000
3,,,,WAS 30,5,16,"Shaun Suisham kicks off 40 yards, returned by Ryan Neufeld for no gain",0.000,0.870
3,5:39,1,10,BUF 29,5,16,Fred Jackson left tackle for 5 yards (tackle by Rocky McIntosh and Randall Godfrey),0.870,1.000
3,5:02,2,5,BUF 34,5,16,Fred Jackson up the middle for 3 yards (tackle by Andre Carter and London Fletcher),1.000,0.700
3,4:23,3,2,BUF 37,5,16,Trent Edwards pass incomplete short left intended for Josh Reed,0.700,-0.910
3,4:18,4,2,BUF 37,5,16,Brian Moorman punts 28 yards,-0.910,-1.270
3,4:12,1,10,WAS 35,5,16,Jason Campbell pass complete short left to Clinton Portis for 2 yards (tackle by Keith Ellison),1.270,0.990
3,3:32,2,8,WAS 37,5,16,Clinton Portis up the middle for 1 yard (tackle by Angelo Crowell and Larry Tripplett),0.990,0.430
3,2:48,3,7,WAS 38,5,16,"Jason Campbell up the middle for 1 yard (tackle by Larry Tripplett). Jason Campbell fumbles (forced by Larry Tripplett), recovered by Angelo Crowell at WAS-39 (tackle by Casey Rabach)",0.430,-2.980
3,2:41,1,10,WAS 39,5,16,Trent Edwards pass complete short middle to Josh Reed for 10 yards (tackle by Reed Doughty),2.980,3.640
3,2:06,1,10,WAS 29,5,16,Fred Jackson left end for 4 yards (tackle by Rocky McIntosh and Andre Carter),3.640,3.640
3,1:24,,,,5,16,Timeout #1 by Buffalo Bills,0.000,3.640
3,1:24,2,6,WAS 25,5,16,Trent Edwards pass incomplete short right intended for Josh Reed,3.640,2.940
3,1:18,3,6,WAS 25,5,16,Trent Edwards pass incomplete deep left intended for Lee Evans,2.940,1.830
3,1:14,4,6,WAS 25,8,16,Rian Lindell 43 yard field goal good,1.830,3.000
3,,,,BUF 30,8,16,"Rian Lindell kicks off 64 yards, returned by Rock Cartwright for 23 yards (tackle by Jim Leonhard). Penalty on Khary Campbell: Offensive Holding, 10 yards",0.000,-0.350
3,1:02,1,10,WAS 12,8,16,Clinton Portis left tackle for 4 yards (tackle by John DiGiorgio),-0.350,-0.370
3,0:32,2,6,WAS 16,8,16,Jason Campbell pass incomplete short middle intended for Reche Caldwell (defended by Terrence McGee),-0.370,-0.950
3,0:26,3,6,WAS 16,8,16,Jason Campbell pass incomplete short middle intended for Santana Moss is intercepted by Larry Tripplett at WAS-24,-0.950,-3.970
3,0:18,1,10,WAS 24,8,16,Fred Jackson right end for 2 yards (tackle by Phillip Daniels and Marcus Washington),3.970,3.700
Quarter,Time,Down,ToGo,Location,BUF,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,WAS 22,8,16,Fred Jackson left end for 3 yards (tackle by Demetric Evans),3.700,3.410
4,14:15,3,5,WAS 19,8,16,Trent Edwards pass complete short left to Josh Reed for 9 yards (tackle by LaRon Landry),3.410,4.910
4,13:38,1,10,WAS 10,8,16,"Fred Jackson right end for 5 yards (tackle by LaRon Landry and John Eubanks). Penalty on Langston Walker: Offensive Holding, 10 yards (no play)",4.910,4.240
4,13:03,1,20,WAS 20,8,16,"Trent Edwards for no gain. Trent Edwards fumbles, recovered by Melvin Fowler at WAS-26",4.240,2.190
4,12:19,2,26,WAS 26,8,16,Fred Jackson left tackle for 2 yards (tackle by London Fletcher),2.190,1.820
4,11:34,3,24,WAS 24,8,16,Trent Edwards pass complete short middle to Robert Royal for 18 yards (tackle by LaRon Landry). Penalty on Fred Jackson: Offensive Holding (Declined),1.820,2.990
4,11:17,4,6,WAS 6,11,16,Rian Lindell 24 yard field goal good,2.990,3.000
4,,,,BUF 30,11,16,"Rian Lindell kicks off 62 yards, returned by Rock Cartwright for 21 yards (tackle by Ashton Youboty)",0.000,0.870
4,11:07,1,10,WAS 29,11,16,Clinton Portis left end for 4 yards (tackle by Terrence McGee),0.870,0.870
4,10:43,2,6,WAS 33,11,16,"Jason Campbell pass incomplete deep left intended for Reche Caldwell (defended by Jabari Greer). Penalty on Jabari Greer: Defensive Pass Interference, 26 yards (no play)",0.870,2.850
4,10:35,1,10,BUF 41,11,16,Clinton Portis left end for 2 yards (tackle by Jabari Greer),2.850,2.580
4,10:08,2,8,BUF 39,11,16,Jason Campbell pass incomplete short right intended for Todd Yoder,2.580,1.880
4,10:02,3,8,BUF 39,11,16,Jason Campbell pass incomplete short left intended for Keenan McCardell,1.880,0.660
4,9:55,4,8,BUF 39,11,16,"Derrick Frost punts 39 yards, touchback",0.660,-0.280
4,9:48,1,10,BUF 20,11,16,Trent Edwards pass complete short right to Fred Jackson for 4 yards (tackle by Marcus Washington),0.280,0.270
4,9:10,2,6,BUF 24,11,16,Trent Edwards pass incomplete deep left intended for Roscoe Parrish,0.270,-0.430
4,9:05,3,6,BUF 24,11,16,Trent Edwards pass complete short middle to Fred Jackson for 54 yards (tackle by LaRon Landry),-0.430,4.110
4,8:35,1,10,WAS 22,11,16,Trent Edwards pass complete short left to Lee Evans for 4 yards (tackle by Reed Doughty),4.110,4.130
4,7:57,2,6,WAS 18,11,16,Trent Edwards right end for 4 yards (tackle by Phillip Daniels),4.130,4.150
4,7:25,3,2,WAS 14,11,16,Dwayne Wright left guard for -1 yards (tackle by Rocky McIntosh and Fred Smoot),4.150,2.540
4,6:38,4,3,WAS 15,14,16,Rian Lindell 33 yard field goal good,2.540,3.000
4,,,,BUF 30,14,16,"Rian Lindell kicks off 64 yards, returned by Rock Cartwright for 32 yards (tackle by Rian Lindell)",0.000,1.470
4,6:23,1,10,WAS 38,14,16,Clinton Portis left tackle for 1 yard (tackle by John DiGiorgio and Ryan Denney),1.470,1.060
4,5:46,2,9,WAS 39,14,16,Jason Campbell pass complete short right to Reche Caldwell for 6 yards (tackle by George Wilson),1.060,1.160
4,5:03,3,3,WAS 45,14,16,Jason Campbell pass incomplete short right intended for Santana Moss (defended by Jim Leonhard),1.160,-0.390
4,4:59,4,3,WAS 45,14,16,"Derrick Frost punts 47 yards, returned by Roscoe Parrish for 22 yards (tackle by Khary Campbell)",-0.390,-0.940
4,4:48,1,10,BUF 30,14,16,Fred Jackson left guard for 2 yards (tackle by Phillip Daniels and Reed Doughty),0.940,0.660
4,4:07,2,8,BUF 32,14,16,Trent Edwards pass incomplete short right intended for Fred Jackson,0.660,-0.030
4,4:00,3,8,BUF 32,14,16,Trent Edwards pass incomplete short right intended for Fred Jackson (defended by Fred Smoot),-0.030,-1.240
4,3:54,4,8,BUF 32,14,16,Brian Moorman punts 42 yards,-1.240,-0.670
4,3:42,1,10,WAS 26,14,16,Clinton Portis up the middle for 1 yard (tackle by Ryan Denney),0.670,0.270
4,2:58,2,9,WAS 27,14,16,Clinton Portis up the middle for 5 yards (tackle by Aaron Schobel),0.270,0.230
4,2:14,3,4,WAS 32,14,16,Jason Campbell pass complete short middle to Clinton Portis for 8 yards (tackle by Terrence McGee),0.230,1.600
4,2:00,1,10,WAS 40,14,16,Clinton Portis right tackle for 2 yards (tackle by Ryan Denney and Jason Jefferson),1.600,1.320
4,1:55,,,,14,16,Timeout #2 by Buffalo Bills,0.000,1.320
4,1:55,2,8,WAS 42,14,16,Clinton Portis left guard for no gain (tackle by Angelo Crowell and Kyle Williams),1.320,0.630
4,1:51,,,,14,16,Timeout #3 by Buffalo Bills,0.000,0.630
4,1:51,3,8,WAS 42,14,16,Clinton Portis right guard for 4 yards (tackle by Aaron Schobel),0.630,-0.320
4,1:06,,,,14,16,Timeout #1 by Washington Redskins,0.000,-0.320
4,1:06,4,4,WAS 46,14,16,"Derrick Frost punts 47 yards, returned by Roscoe Parrish for 15 yards (tackle by Reed Doughty)",-0.320,-0.410
4,0:56,1,10,BUF 22,14,16,Trent Edwards pass complete short left to Fred Jackson for 5 yards (tackle by Fred Smoot),0.410,0.540
4,0:35,2,5,BUF 27,14,16,Trent Edwards pass complete short left to Roscoe Parrish for 10 yards (tackle by London Fletcher),0.540,1.400
4,0:27,1,10,BUF 37,14,16,Trent Edwards pass complete deep middle to Josh Reed for 30 yards (tackle by John Eubanks),1.400,3.380
4,0:27,1,10,WAS 33,14,16,Trent Edwards spiked the ball,3.380,2.840
4,0:08,,,,14,16,Timeout #2 by Washington Redskins,0.000,2.840
4,0:08,2,10,WAS 33,14,16,"Penalty on WAS: Unsportsmanlike Conduct, 15 yards (no play)",2.840,4.370
4,0:08,1,10,WAS 18,17,16,Rian Lindell 36 yard field goal good,4.370,3.000
4,,,,BUF 30,17,16,Rian Lindell kicks off 42 yards,0.000,0.810
4,0:03,1,10,WAS 28,17,16,"Jason Campbell pass complete short right to Clinton Portis for -28 yards. Clinton Portis fumbles, recovered by Clinton Portis at WAS-WAS. Penalty on Larry Tripplett: Roughing the Passer, 15 yards (no play)",0.810,1.800
4,0:00,1,10,WAS 43,17,16,Jason Campbell pass incomplete deep right intended for Keenan McCardell,1.800,1.250
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
