Unnamed: 0,CLE,BAL
First Downs,22,24
Rush-Yds-TDs,29-193-4,29-173-0
Cmp-Att-Yd-TD-INT,20-31-342-1-1,24-34-247-3-2
Sacked-Yards,1-5,4-25
Net Pass Yards,337,222
Total Yards,530,395
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,6-41,3-15
Third Down Conv.,6-13,4-10
Fourth Down Conv.,1-1,1-2
Time of Possession,30:17,29:43
