Quarter,Time,Tm,Detail,CLE,BAL
1.0,2:50,Browns,Ricky Seals-Jones 9 yard pass from Baker Mayfield (Austin Seibert kick),7,0
2.0,1:55,Ravens,Miles Boykin 9 yard pass from Lamar Jackson (Justin Tucker kick),7,7
,0:08,Browns,Austin Seibert 24 yard field goal,10,7
3.0,11:15,Ravens,Justin Tucker 41 yard field goal,10,10
,9:41,Browns,Nick Chubb 14 yard rush (Austin Seibert kick),17,10
,0:53,Browns,Nick Chubb 2 yard rush (Austin Seibert kick),24,10
4.0,9:51,Ravens,Mark Andrews 8 yard pass from Lamar Jackson (Mark Ingram run),24,18
,9:35,Browns,Nick Chubb 88 yard rush (pass failed),30,18
,6:56,Browns,Austin Seibert 43 yard field goal,33,18
,2:14,Browns,Dontrell Hilliard 1 yard rush (Austin Seibert kick),40,18
,0:30,Ravens,Willie Snead 50 yard pass from Lamar Jackson (Justin Tucker kick),40,25
