Unnamed: 0,GNB,PHI
First Downs,20,29
Rush-Yds-TDs,18-50-0,21-93-0
Cmp-Att-Yd-TD-INT,22-40-226-2-2,32-45-464-5-0
Sacked-Yards,5-27,4-15
Net Pass Yards,199,449
Total Yards,249,542
Fumbles-Lost,2-0,2-1
Turnovers,2,1
Penalties-Yards,12-99,8-89
Third Down Conv.,4-13,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,26:13,33:47
