Quarter,Time,Tm,Detail,GNB,PHI
1.0,5:57,Eagles,Terrell Owens 41 yard pass from Donovan McNabb (David Akers kick),0,7
2.0,10:27,Eagles,Brian Westbrook 9 yard pass from Donovan McNabb (David Akers kick),0,14
,5:37,Eagles,Brian Westbrook 41 yard pass from Donovan McNabb (David Akers kick),0,21
,3:04,Eagles,L.J. Smith 6 yard pass from Donovan McNabb (David Akers kick),0,28
,1:48,Eagles,Brian Westbrook 12 yard pass from Donovan McNabb (David Akers kick),0,35
,0:02,Packers,Ryan Longwell 40 yard field goal,3,35
3.0,11:38,Eagles,David Akers 22 yard field goal,3,38
,7:09,Eagles,David Akers 45 yard field goal,3,41
,2:34,Eagles,David Akers 47 yard field goal,3,44
4.0,11:16,Eagles,David Akers 22 yard field goal,3,47
,8:26,Packers,William Henderson 1 yard pass from Craig Nall (Ryan Longwell kick),10,47
,2:21,Packers,Javon Walker 17 yard pass from Craig Nall (Ryan Longwell kick),17,47
