Unnamed: 0,CAR,JAX
First Downs,17,18
Rush-Yds-TDs,35-105-0,21-96-0
Cmp-Att-Yd-TD-INT,18-31-175-1-1,22-40-183-1-2
Sacked-Yards,2-17,5-14
Net Pass Yards,158,169
Total Yards,263,265
Fumbles-Lost,0-0,1-1
Turnovers,1,3
Penalties-Yards,3-22,3-25
Third Down Conv.,8-17,3-12
Fourth Down Conv.,1-1,1-2
Time of Possession,34:06,25:54
