Unnamed: 0,DET,TAM
First Downs,26,22
Rush-Yds-TDs,28-181-1,28-176-1
Cmp-Att-Yd-TD-INT,23-38-252-1-0,22-33-252-1-0
Sacked-Yards,0-0,3-25
Net Pass Yards,252,227
Total Yards,433,403
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,7-57,9-65
Third Down Conv.,6-12,5-12
Fourth Down Conv.,0-0,2-2
Time of Possession,33:05,32:04
