Quarter,Time,Tm,Detail,DEN,NWE
1.0,10:08,Broncos,Clinton Portis 1 yard rush (Jason Elam kick),7,0
2.0,14:55,Broncos,Shannon Sharpe 8 yard pass from Brian Griese (Jason Elam kick),14,0
,7:16,Patriots,Antowain Smith 3 yard rush (Adam Vinatieri kick),14,7
,2:45,Broncos,Clinton Portis 4 yard rush (Jason Elam kick),21,7
3.0,7:26,Patriots,Adam Vinatieri 26 yard field goal,21,10
4.0,14:55,Patriots,Christian Fauria 8 yard pass from Tom Brady (pass failed),21,16
,9:45,Broncos,Jason Elam 19 yard field goal,24,16
