Unnamed: 0,DEN,NWE
First Downs,23,16
Rush-Yds-TDs,40-136-2,19-69-1
Cmp-Att-Yd-TD-INT,18-23-229-1-1,15-29-130-1-0
Sacked-Yards,2-14,5-20
Net Pass Yards,215,110
Total Yards,351,179
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,2-51,8-83
Third Down Conv.,8-13,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,35:40,24:20
