Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Philip Rivers pass complete short middle to Keenan Allen for 8 yards (tackle by Eric Murray),0.610,1.140
1,14:25,2,2,LAC 33,0,0,Melvin Gordon up the middle for 1 yard (tackle by Dee Ford and Kendall Fuller),1.140,0.560
1,14:03,3,1,LAC 34,0,0,Melvin Gordon up the middle for no gain (tackle by Reggie Ragland and Ron Parker),0.560,-1.110
1,13:24,4,1,LAC 34,6,0,"Drew Kaser punts 57 yards, returned by Tyreek Hill for 91 yards, touchdown",-1.110,-7.000
1,13:03,,,KAN 35,7,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,13:03,1,10,LAC 25,7,0,Austin Ekeler left end for 7 yards (tackle by Reggie Ragland and Eric Murray),0.610,1.010
1,12:25,2,3,LAC 32,7,0,"Philip Rivers pass incomplete short left intended for Keenan Allen. Penalty on Kendall Fuller: Defensive Holding, 5 yards (no play)",1.010,1.400
1,12:21,1,10,LAC 37,7,0,Melvin Gordon up the middle for 3 yards (tackle by Xavier Williams and Reggie Ragland),1.400,1.260
1,11:44,2,7,LAC 40,7,0,Philip Rivers pass complete short right to Keenan Allen for 8 yards,1.260,2.130
1,11:10,1,10,LAC 48,7,0,Travis Benjamin left end for 19 yards (tackle by Kendall Fuller). Penalty on Chris Jones: Defensive Offside (Declined),2.130,3.380
1,10:48,1,10,KAN 33,7,0,Melvin Gordon up the middle for 2 yards (tackle by Ron Parker and Anthony Hitchens),3.380,3.110
1,10:09,2,8,KAN 31,7,0,Philip Rivers pass incomplete deep left intended for Tyrell Williams,3.110,2.410
1,10:03,3,8,KAN 31,7,0,Philip Rivers pass complete short middle to Tyrell Williams for 4 yards (tackle by Orlando Scandrick),2.410,1.750
1,9:24,4,4,KAN 27,7,3,Caleb Sturgis 45 yard field goal good,1.750,3.000
1,9:20,,,LAC 35,7,3,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
1,9:20,1,10,KAN 25,7,3,Kareem Hunt up the middle for 4 yards (tackle by Jahleel Addae and Isaac Rochell),0.610,0.600
1,8:47,2,6,KAN 29,7,3,Patrick Mahomes pass complete short right to Sammy Watkins for 4 yards (tackle by Casey Hayward),0.600,0.430
1,8:07,3,2,KAN 33,7,3,Patrick Mahomes up the middle for 3 yards (tackle by Jahleel Addae),0.430,1.330
1,7:25,1,10,KAN 36,7,3,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Kyle Emanuel),1.330,1.600
1,6:50,2,4,KAN 42,13,3,"Patrick Mahomes pass complete short middle to Tyreek Hill for 58 yards, touchdown, touchdown",1.600,7.000
1,6:39,,,LAC 15,14,3,Harrison Butker kicks extra point good,0.000,0.000
1,6:39,,,KAN 35,14,3,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,6:39,1,10,LAC 25,14,3,"Philip Rivers pass complete deep left to Austin Ekeler for 30 yards (tackle by Ron Parker). Penalty on Ron Parker: Lowering the Head to Initiate Contact, 15 yards",0.610,3.580
1,6:16,1,10,KAN 30,14,3,Melvin Gordon up the middle for no gain (tackle by Anthony Hitchens and Justin Houston),3.580,3.030
1,5:35,2,10,KAN 30,14,3,Philip Rivers pass incomplete short left intended for Keenan Allen,3.030,2.340
1,5:31,3,10,KAN 30,14,3,Philip Rivers sacked by Dee Ford for -6 yards,2.340,0.880
1,5:12,4,16,KAN 36,14,3,Caleb Sturgis punts 24 yards,0.880,0.350
1,5:03,1,10,KAN 12,14,3,Patrick Mahomes pass incomplete short left intended for Sammy Watkins,-0.350,-0.780
1,4:58,2,10,KAN 12,14,3,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,-0.780,-1.420
1,4:53,3,10,KAN 12,14,3,Spencer Ware up the middle for 4 yards (tackle by Jatavis Brown and Chris Landrum),-1.420,-2.390
1,4:11,4,6,KAN 16,14,3,"Dustin Colquitt punts 44 yards, fair catch by JJ Jones at LAC-40",-2.390,-1.600
1,4:02,1,10,LAC 40,14,3,Melvin Gordon right tackle for 18 yards (tackle by Steven Nelson),1.600,2.790
1,3:18,1,10,KAN 42,14,3,Philip Rivers pass complete short right to Melvin Gordon for 13 yards (tackle by Ron Parker),2.790,3.640
1,2:41,1,10,KAN 29,14,3,Melvin Gordon up the middle for 1 yard (tackle by Reggie Ragland and Eric Murray),3.640,3.240
1,2:00,2,9,KAN 28,14,3,Philip Rivers pass complete short right to Melvin Gordon for -2 yards (tackle by Anthony Hitchens),3.240,2.280
1,1:14,3,11,KAN 30,14,3,Philip Rivers pass complete short middle to Austin Ekeler for 9 yards (tackle by Steven Nelson and Anthony Hitchens),2.280,2.180
1,0:25,,,,,,Timeout #1 by Los Angeles Chargers,,
1,0:25,4,2,KAN 21,14,6,Caleb Sturgis 39 yard field goal good,2.180,3.000
1,0:21,,,LAC 35,14,6,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
1,0:21,1,10,KAN 25,14,6,Patrick Mahomes pass complete deep left to Tyreek Hill for 30 yards (tackle by Kyzir White),0.610,2.590
Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 45,14,6,Patrick Mahomes pass incomplete deep middle intended for De'Anthony Thomas (defended by Derwin James),2.590,2.040
2,14:53,2,10,LAC 45,14,6,Patrick Mahomes pass incomplete short left intended for Travis Kelce,2.040,1.360
2,14:49,3,10,LAC 45,14,6,Patrick Mahomes sacked by Derwin James for no gain,1.360,0.270
2,14:07,4,10,LAC 45,14,6,Dustin Colquitt punts 41 yards,0.270,0.380
2,13:58,1,10,LAC 4,14,6,"Philip Rivers pass incomplete short left intended for Keenan Allen (defended by Steven Nelson) Penalty on KAN: Defensive Too Many Men on Field, 5 yards (no play)",-0.380,-0.190
2,13:54,1,5,LAC 9,14,6,Melvin Gordon left end for 6 yards (tackle by Steven Nelson and Anthony Hitchens),-0.190,-0.220
2,13:17,1,10,LAC 15,14,6,Melvin Gordon left end for 5 yards (tackle by Xavier Williams),-0.220,0.080
2,12:37,2,5,LAC 20,14,6,Austin Ekeler up the middle for 6 yards (tackle by Kendall Fuller and Xavier Williams),0.080,0.670
2,11:57,1,10,LAC 26,14,6,Philip Rivers pass incomplete deep right intended for Travis Benjamin,0.670,0.130
2,11:51,2,10,LAC 26,14,6,Philip Rivers pass complete short left to Virgil Green for 15 yards (tackle by Anthony Hitchens),0.130,1.660
2,11:07,1,10,LAC 41,14,6,Philip Rivers pass complete short right to Melvin Gordon for 25 yards (tackle by Steven Nelson),1.660,3.310
2,10:27,1,10,KAN 34,14,6,Philip Rivers pass incomplete short right. Penalty on Chris Jones: Defensive Offside (Offsetting) (no play),3.310,3.310
2,10:21,1,10,KAN 34,14,6,Philip Rivers pass incomplete deep middle intended for Tyrell Williams,3.310,2.770
2,10:14,2,10,KAN 34,14,6,Austin Ekeler up the middle for 9 yards (tackle by Ron Parker and Eric Murray),2.770,3.270
2,9:28,3,1,KAN 25,14,6,Derek Watt up the middle for 1 yard (tackle by Reggie Ragland),3.270,3.970
2,8:46,1,10,KAN 24,14,6,Melvin Gordon up the middle for 11 yards (tackle by Ron Parker),3.970,4.710
2,7:58,1,10,KAN 13,14,6,Philip Rivers pass incomplete short left intended for Melvin Gordon,4.710,4.050
2,7:54,,,,,,Timeout #2 by Los Angeles Chargers,,
