Unnamed: 0,KAN,LAC
First Downs,19,33
Rush-Yds-TDs,27-106-0,22-123-0
Cmp-Att-Yd-TD-INT,15-27-256-4-0,34-51-424-3-1
Sacked-Yards,1-0,1-6
Net Pass Yards,256,418
Total Yards,362,541
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,6-50,7-45
Third Down Conv.,4-10,3-11
Fourth Down Conv.,0-0,1-1
Time of Possession,25:34,34:26
