Quarter,Time,Tm,Detail,NYJ,DEN
1.0,11:19,Jets,Greg Zuerlein 30 yard field goal,3,0
,7:34,Broncos,Jaleel McLaughlin 22 yard pass from Russell Wilson (Wil Lutz kick),3,7
,4:17,Jets,"Safety, Russell Wilson intentional grounding in end zone",5,7
2.0,12:47,Broncos,Wil Lutz 23 yard field goal,5,10
,6:41,Jets,Greg Zuerlein 26 yard field goal,8,10
,1:48,Broncos,Wil Lutz 22 yard field goal,8,13
3.0,13:29,Jets,Breece Hall 72 yard rush (Greg Zuerlein kick),15,13
,5:16,Jets,Greg Zuerlein 27 yard field goal,18,13
4.0,12:19,Jets,Greg Zuerlein 22 yard field goal,21,13
,7:27,Jets,Greg Zuerlein 49 yard field goal,24,13
,4:44,Broncos,Adam Trautman 3 yard pass from Russell Wilson (Michael Burton run),24,21
,0:29,Jets,Bryce Hall 39 yard fumble return (Greg Zuerlein kick),31,21
