Unnamed: 0,STL,BAL
First Downs,13,16
Rush-Yds-TDs,29-82-1,28-96-0
Cmp-Att-Yd-TD-INT,12-26-136-1-0,27-44-299-1-2
Sacked-Yards,1-5,1-7
Net Pass Yards,131,292
Total Yards,213,388
Fumbles-Lost,5-4,2-0
Turnovers,4,2
Penalties-Yards,6-35,10-137
Third Down Conv.,3-13,4-16
Fourth Down Conv.,0-0,0-1
Time of Possession,27:08,32:52
