Quarter,Time,Down,ToGo,Location,STL,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,STL 20,0,0,Case Keenum pass complete deep right to Kenny Britt for 16 yards (tackle by C.J. Mosley),0.280,1.330
1,14:17,1,10,STL 36,0,0,Todd Gurley right tackle for 2 yards (tackle by Timmy Jernigan),1.330,1.060
1,13:38,2,8,STL 38,0,0,Case Keenum pass complete short middle to Wes Welker for 7 yards (tackle by Courtney Upshaw),1.060,1.290
1,13:00,3,1,STL 45,0,0,Todd Gurley left guard for no gain (tackle by Timmy Jernigan and Brandon Williams),1.290,-0.390
1,12:07,4,1,STL 45,0,0,"Penalty on Chase Reynolds: False Start, 5 yards (no play)",-0.390,-0.720
1,12:03,4,6,STL 40,0,0,Johnny Hekker punts 58 yards,-0.720,0.380
1,11:50,1,10,BAL 2,0,0,Joe Flacco pass complete short right to Kyle Juszczyk for 7 yards (tackle by T.J. McDonald and Trumaine Johnson),-0.380,-0.270
1,11:20,2,3,BAL 9,0,0,Justin Forsett right tackle for 8 yards (tackle by Aaron Donald and Rodney McLeod),-0.270,-0.060
1,10:38,1,10,BAL 17,0,0,Justin Forsett right tackle for 18 yards (tackle by T.J. McDonald and Rodney McLeod),-0.060,1.270
1,10:04,1,10,BAL 35,0,0,Joe Flacco pass complete short right to Chris Givens for 5 yards (tackle by Trumaine Johnson),1.270,1.400
1,9:35,2,5,BAL 40,0,0,Javorius Allen right tackle for 4 yards (tackle by Aaron Donald),1.400,1.220
1,8:54,3,1,BAL 44,0,0,"Justin Forsett left end for 5 yards (tackle by Rodney McLeod). Penalty on Ryan Jensen: Tripping, 10 yards",1.220,0.560
1,8:27,3,6,BAL 39,0,0,Joe Flacco pass incomplete short right intended for Kamar Aiken,0.560,-0.780
1,8:21,4,6,BAL 39,0,0,"Sam Koch punts 56 yards, returned by Wes Welker for 10 yards (tackle by Zach Orr)",-0.780,0.220
1,8:12,1,10,STL 15,0,0,Todd Gurley left guard for 6 yards (tackle by Kendrick Lewis and Timmy Jernigan),-0.220,0.210
1,7:33,2,4,STL 21,0,0,Todd Gurley right guard for 5 yards (tackle by Courtney Upshaw),0.210,0.670
1,6:59,1,10,STL 26,0,0,"Penalty on Garrett Reynolds: False Start, 5 yards (no play)",0.670,0.340
1,6:37,1,15,STL 21,0,0,Todd Gurley left tackle for 2 yards (tackle by Chris Canty and Brandon Williams),0.340,-0.280
1,5:54,2,13,STL 23,0,0,Case Keenum pass incomplete deep left intended for Jared Cook,-0.280,-0.960
1,5:47,3,13,STL 23,0,0,Case Keenum pass incomplete short left intended for Kenny Britt,-0.960,-1.830
1,5:44,4,13,STL 23,0,0,Johnny Hekker punts 37 yards,-1.830,-1.600
1,5:34,1,10,BAL 40,0,0,Joe Flacco pass complete short right to Crockett Gillmore for 19 yards (tackle by Rodney McLeod),1.600,2.850
1,4:58,1,10,STL 41,0,0,Justin Forsett left guard for -5 yards (tackle by Aaron Donald),2.850,1.630
1,4:39,2,15,STL 46,0,0,Joe Flacco pass complete short right to Jeremy Butler for 7 yards (tackle by Nick Fairley),1.630,1.880
1,4:01,3,8,STL 39,0,0,"Joe Flacco pass complete short right to Jeremy Butler for 6 yards (tackle by Rodney McLeod). Jeremy Butler fumbles (forced by Rodney McLeod), ball out of bounds at STL-33",1.880,1.200
,,,,,,,"STL challenged the fumble ruling, and the original play was overturned.",,
1,3:50,4,2,STL 33,0,0,Justin Tucker 51 yard field goal no good,1.200,-1.660
1,3:45,1,10,STL 41,0,0,"Case Keenum pass incomplete deep left intended for Jared Cook. Penalty on Jimmy Smith: Defensive Pass Interference, 49 yards (no play)",1.660,4.910
,,,,,,,"BAL challenged the illegal forward pass ruling, and the play was upheld.",,
1,3:34,1,10,BAL 10,0,0,Todd Gurley left tackle for 4 yards (tackle by Daryl Smith and Kendrick Lewis),4.910,4.950
1,2:55,2,6,BAL 6,0,0,Todd Gurley left guard for 5 yards (tackle by Courtney Upshaw and Kendrick Lewis),4.950,5.170
1,2:10,3,1,BAL 1,6,0,"Todd Gurley right guard for 1 yard, touchdown",5.170,7.000
1,2:10,,,BAL 1,7,0,Greg Zuerlein kicks extra point good,0.000,0.000
1,2:10,,,STL 35,7,0,"Greg Zuerlein kicks off 65 yards, returned by Raheem Mostert for 28 yards (tackle by Cody Davis)",0.000,-0.810
1,1:57,1,10,BAL 28,7,0,Javorius Allen right tackle for no gain (tackle by William Hayes),0.810,0.260
1,1:20,2,10,BAL 28,7,0,Joe Flacco pass complete short middle to Crockett Gillmore for 9 yards (tackle by James Laurinaitis and T.J. McDonald),0.260,0.760
1,0:46,3,1,BAL 37,7,0,"Joe Flacco pass complete deep left to Kamar Aiken for 26 yards (tackle by Trumaine Johnson). Penalty on Maxx Williams: Offensive Pass Interference, 10 yards (no play)",0.760,-0.560
1,0:22,3,11,BAL 27,7,0,Joe Flacco pass incomplete short right intended for Chris Givens,-0.560,-1.570
1,0:16,4,11,BAL 27,7,0,"Sam Koch punts 48 yards, returned by Tavon Austin for 3 yards (tackle by Albert McClellan)",-1.570,-0.810
1,0:05,1,10,STL 28,7,0,Todd Gurley left guard for 5 yards (tackle by Kendrick Lewis),0.810,0.940
Quarter,Time,Down,ToGo,Location,STL,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,STL 33,7,0,"Todd Gurley right guard for 9 yards (tackle by Chris Canty). Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",0.940,-0.410
2,14:41,2,15,STL 23,7,0,Case Keenum pass incomplete short left intended for Lance Kendricks,-0.410,-1.090
2,14:34,3,15,STL 23,7,0,"Case Keenum pass incomplete short right intended for Benny Cunningham. Penalty on Elvis Dumervil: Roughing the Passer, 15 yards (no play)",-1.090,1.470
2,14:29,1,10,STL 38,7,0,Todd Gurley left end for 4 yards (tackle by Kendrick Lewis),1.470,1.460
2,14:00,2,6,STL 42,7,0,Todd Gurley left guard for 1 yard (tackle by C.J. Mosley),1.460,0.890
2,13:17,3,5,STL 43,7,0,Case Keenum pass complete short left to Kenny Britt for 8 yards (tackle by Jimmy Smith),0.890,2.320
2,12:39,1,10,BAL 49,7,0,Todd Gurley right guard for no gain (tackle by Elvis Dumervil and Brandon Williams),2.320,1.780
2,11:54,2,10,BAL 49,7,0,Case Keenum pass incomplete deep left intended for Tavon Austin (defended by Lardarius Webb),1.780,1.090
2,11:47,3,10,BAL 49,7,0,"Case Keenum pass complete deep middle to Bradley Marquez for 31 yards. Penalty on Kenny Britt: Illegal Block Above the Waist (Offsetting), Penalty on C.J. Mosley: Unnecessary Roughness (Offsetting), Penalty on Garrett Reynolds: Unnecessary Roughness (Offsetting) (no play)",1.090,1.090
2,11:19,3,10,BAL 49,7,0,Case Keenum pass incomplete short right intended for Kenny Britt,1.090,0.000
2,11:13,4,10,BAL 49,7,0,Johnny Hekker punts 30 yards,0.000,-0.150
2,11:07,1,10,BAL 19,7,0,Joe Flacco pass complete short left to Kamar Aiken for 6 yards (tackle by Janoris Jenkins and Eugene Sims),0.150,0.480
2,10:33,2,4,BAL 25,7,0,Joe Flacco pass incomplete short left intended for Kyle Juszczyk,0.480,-0.290
2,10:30,3,4,BAL 25,7,0,Joe Flacco pass incomplete short left intended for Chris Givens (defended by Janoris Jenkins),-0.290,-1.700
