Unnamed: 0,SFO,SEA
First Downs,6,27
Rush-Yds-TDs,16-79-0,36-106-1
Cmp-Att-Yd-TD-INT,12-28-114-0-0,27-40-278-2-1
Sacked-Yards,3-20,1-4
Net Pass Yards,94,274
Total Yards,173,380
Fumbles-Lost,2-2,3-1
Turnovers,2,2
Penalties-Yards,10-53,4-39
Third Down Conv.,1-12,6-14
Fourth Down Conv.,0-3,0-0
Time of Possession,20:06,39:54
