Unnamed: 0,SEA,CHI
First Downs,18,21
Rush-Yds-TDs,31-127-2,34-120-2
Cmp-Att-Yd-TD-INT,18-33-195-1-1,21-38-282-1-1
Sacked-Yards,3-16,3-31
Net Pass Yards,179,251
Total Yards,306,371
Fumbles-Lost,0-0,4-1
Turnovers,1,2
Penalties-Yards,4-16,5-40
Third Down Conv.,5-15,8-20
Fourth Down Conv.,1-3,1-1
Time of Possession,29:25,35:33
